Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
ESP_2019_1,0.745800728829323,0.745800728829323,,,0.75032612081199,0.75032612081199,,
ESP_2020_1,0.460609283533874,0.460609283533874,,,0.468036945257071,0.468036945257071,,
ESP_2021_1,0.432133257344588,0.432133257344588,,,0.516676009122527,0.516676009122527,,
ESP_2021_2,0.801763087429263,,0.801763087429263,,0.807430273340242,,0.807430273340242,
