Row,Position,Genotype,Management,Checks,Year,Country,Envir,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample
1,5,I_W045,1,"",2023,ITA,ITA_2023,233,16.367,130,125.9,1,50,48.51,10.11,50,102,,,,,,20,2.518
2,107,12_F007,1,"",2023,ITA,ITA_2023,247,8.998,88,102.25,1,60,55.13,6.25,75,97,,,,,,20,2.045
2,116,12_F014,1,"",2023,ITA,ITA_2023,247,5.5152,72,76.6,5,90,48.76,7.02,75,96,,,,,,20,1.532
3,30,I_M052,1,"",2023,ITA,ITA_2023,228,2.681,58,46.22413793,1,34.48275862,41.11,5.1,37.5,90,,,,,,58,2.681
3,56,12_F046,1,"",2023,ITA,ITA_2023,247,9.0234,108,83.55,1,70,65.36,10.62,100,95,,,,,,20,1.671
3,131,12_K044,1,"",2023,ITA,ITA_2023,241,7.479,90,83.1,0,100,41.67,5.56,62.5,96,,,,,,20,1.662
6,42,12_K044,1,"",2023,ITA,ITA_2023,256,6.1857,79,78.3,0,100,34.81,6.39,87.5,90,,,,,,20,1.566
6,65,15,1,"",2023,ITA,ITA_2023,247,5.472,40,136.8,3,22.5,40.16,6.33,37.5,94,,,,,,40,5.472
6,107,12_O056,1,"",2023,ITA,ITA_2023,241,3.886071429,30,129.5357143,5,10.71428571,32.34,1.83,37.5,89,,,,,,28,3.627
6,109,12_F046,1,"",2023,ITA,ITA_2023,256,8.625,100,86.25,4,35,51.5,11.8,75,94,,,,,,20,1.725
7,12,12_F045,1,"",2023,ITA,ITA_2023,241,9.7934,92,106.45,3,100,57,4.58,75,102,,,,,,20,2.129
7,26,12_I005,1,"",2023,ITA,ITA_2023,241,19.7735,71,278.5,3,70,43.04,7.36,62.5,93,,,,,,20,5.57
7,30,810,1,"",2023,ITA,ITA_2023,261,3.642333333,35,104.0666667,1,0,33.88,4.05,87.5,86,,,,,,30,3.122
8,52,12_F014,1,"",2023,ITA,ITA_2023,247,6.4856,88,73.7,4,80,53.86,6.74,75,95,,,,,,20,1.474
8,86,12_O017,1,"",2023,ITA,ITA_2023,256,8.2892,92,90.1,1,100,40.9,4.03,75,96,,,,,,20,1.802
11,44,12_I005,2,"",2023,ITA,ITA_2023,233,2.1475,5,429.5,4,0,29.41,4.14,12.5,100,,,,,,4,1.718
12,27,12_F052,2,"",2023,ITA,ITA_2023,228,8.8102,98,89.9,1,45,71.29,4.93,62.5,95,,,,,,20,1.798
14,3,2847,2,"",2023,ITA,ITA_2023,261,4.991142857,36,138.6428571,0,42.85714286,33.26,1.55,37.5,102,,,,,,28,3.882
15,37,I_W045,2,"",2023,ITA,ITA_2023,261,10.2998,98,105.1,3,55,47.02,3.23,75,93,,,,,,20,2.102
18,20,65,2,Golden_Delicious,2023,ITA,ITA_2023,230,20.6658,89,232.2,0,50,48.28,4.97,100,94,,,,,,10,2.322
18,28,173,2,"",2023,ITA,ITA_2023,256,6.98275,85,82.15,0,80,52.54,4.14,75,92,,,,,,20,1.643
