trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,240,26
Fruit_weight,9,6.6
Fruit_number,75,46
Fruit_weight_single,120,53
Color_over,2.2,1.6
Russet_freq_all,30,36
Trunk_diameter,37,8.9
Trunk_increment,5.2,3.7
Flowering_intensity,80,25
Flowering_begin,100,3.3
Flowering_full,100,3.7
Flowering_end,110,4.3
Scab,2.6,1.8
Powdery_mildew,2.7,0.91
Scab_fruits,1.3,0.31
Weight_sample,2.5,1.1
Sample_size,20,0
