trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,10
Fruit_weight,3.2,0.88
Fruit_number,18,5.7
Fruit_weight_single,180,19
Color_over,3.1,1.3
Russet_freq_all,54,33
Trunk_diameter,24,5.2
Trunk_increment,3,2.3
Flowering_intensity,13,13
Flowering_begin,110,5
Flowering_full,100,6.7
Flowering_end,110,5.1
Scab,3.7,2.6
Powdery_mildew,4.5,2.3
Scab_fruits,1.2,0.46
Weight_sample,2.8,0.57
Sample_size,16,3.5
