trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,26
Fruit_weight,4.2,1.8
Fruit_number,25,11
Fruit_weight_single,170,35
Color_over,1.9,1.6
Russet_freq_all,66,20
Trunk_diameter,50,14
Trunk_increment,5.5,6
Flowering_intensity,30,23
Flowering_begin,120,2.8
Flowering_full,97,1.9
Flowering_end,100,2.5
Scab,1,0
Powdery_mildew,3.2,2
Scab_fruits,0.69,0.44
Weight_sample,3,0.74
Sample_size,17,3.4
