trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,26
Fruit_weight,6.8,3.4
Fruit_number,46,26
Fruit_weight_single,160,54
Color_over,2.2,1.8
Russet_freq_all,67,34
Trunk_diameter,25,5.8
Trunk_increment,4.7,3.7
Flowering_intensity,69,25
Flowering_begin,97,4.2
Flowering_full,100,3.9
Flowering_end,110,4.4
Scab,2.2,1.8
Powdery_mildew,2.4,1
Scab_fruits,1.1,0.35
Weight_sample,3.1,1.1
Sample_size,20,0
