trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,240,19
Fruit_weight,8.9,4.6
Fruit_number,61,30
Fruit_weight_single,160,33
Color_over,1.8,1.2
Russet_freq_all,97,4
Trunk_diameter,42,7.5
Trunk_increment,9.6,3.9
Flowering_intensity,41,22
Flowering_begin,85,3.9
Flowering_full,92,3.9
Flowering_end,100,5
Scab,0.65,0.48
Powdery_mildew,1.6,0.29
Scab_fruits,0.35,0.24
Weight_sample,3.1,0.66
Sample_size,20,0.077
