trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,25
Fruit_weight,8.6,4.7
Fruit_number,58,35
Fruit_weight_single,160,54
Color_over,2.2,1.7
Russet_freq_all,69,34
Trunk_diameter,29,6.7
Trunk_increment,5,2.9
Flowering_intensity,63,31
Flowering_begin,99,2.4
Flowering_full,100,3.7
Flowering_end,110,4.4
Scab,2.4,1.7
Powdery_mildew,2.4,1
Scab_fruits,1.1,0.34
Weight_sample,3.1,1.1
Sample_size,20,0
