trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,13
Fruit_weight,5.1,2.6
Fruit_number,30,15
Fruit_weight_single,170,25
Color_over,2.6,1.4
Russet_freq_all,59,35
Trunk_diameter,25,5.7
Trunk_increment,4.6,2.7
Flowering_intensity,47,41
Flowering_begin,110,3.7
Flowering_full,100,4.9
Flowering_end,110,3.4
Scab,3.7,2
Powdery_mildew,3.4,2
Scab_fruits,1.2,0.27
Weight_sample,3.1,0.57
Sample_size,18,2.7
