trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,29
Fruit_weight,13,10
Fruit_number,73,43
Fruit_weight_single,180,60
Color_over,2.6,1.9
Russet_freq_all,63,38
Trunk_diameter,48,12
Trunk_increment,8.5,11
Flowering_intensity,83,22
Flowering_begin,100,6.5
Flowering_full,99,3.8
Flowering_end,110,4.5
Scab,1.7,1.2
Powdery_mildew,2.3,0.9
Scab_fruits,0.91,0.47
Weight_sample,3.6,1.8
Sample_size,20,0
