Row,Position,Genotype,Management,Checks,Year,Country,Envir,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample
1,5,I_W045,1,"",2021,ITA,ITA_2021,257,53.0376,231,229.6,1,5,33.96,6.74,87.5,95,,,,,,20,4.592
1,112,543,1,"",2021,ITA,ITA_2021,207,1.23375,15,82.25,3,,32.23,3.09,12.5,97,,,,,,16,1.316
2,72,2794,1,"",2021,ITA,ITA_2021,238,1.546,5,309.2,2,0,24.19,2.68,12.5,94,,,,,,5,1.546
2,129,12_F019,1,"",2021,ITA,ITA_2021,222,8.192,64,128,2,83.33333333,36.22,5.98,25,96,,,,,,6,0.768
2,130,192,1,"",2021,ITA,ITA_2021,,,,,,,38.63,20.3,12.5,109,,,,,,,
3,56,12_F046,1,"",2021,ITA,ITA_2021,267,27.6012,306,90.2,4,35,51.57,14.2,87.5,98,,,,,,20,1.804
3,124,584,1,"",2021,ITA,ITA_2021,231,,1,,,,33.82,1.07,12.5,98,,,,,,,
4,19,653,1,"",2021,ITA,ITA_2021,235,12.0218,31,387.8,1,25,22.05,3.56,100,93,,,,,,20,7.756
4,86,I_W037,1,"",2021,ITA,ITA_2021,,,,,,,34.57,6.84,0,,,,,,,,
5,119,130,1,"",2021,ITA,ITA_2021,235,2.223,13,171,2,64.28571429,29.7,0.45,12.5,97,,,,,,14,2.394
6,67,I_M047,1,"",2021,ITA,ITA_2021,224,2.82,15,188,2,50,37.31,4.12,12.5,93,,,,,,16,3.008
7,19,410,1,"",2021,ITA,ITA_2021,281,1.605,5,321,0,100,30.62,0.39,12.5,98,,,,,,4,1.284
7,102,5,1,"",2021,ITA,ITA_2021,,,3,,,,28.47,4.61,12.5,108,,,,,,,
8,22,ACW_25581,1,"",2021,ITA,ITA_2021,281,1.504,5,300.8,2,100,44.17,4.74,12.5,96,,,,,,5,1.504
8,66,270,1,"",2021,ITA,ITA_2021,207,0.644,6,107.3333333,1,,20.59,1.8,12.5,101,,,,,,6,0.644
9,1,65,1,Golden_Delicious,2021,ITA,ITA_2021,260,1.7736,6,295.6,0,60,32.99,0.01,12.5,98,,,,,,5,1.478
11,44,12_I005,2,"",2021,ITA,ITA_2021,235,4.0964,19,215.6,3,30,23.18,2.68,50,98,,,,,,20,4.312
13,18,678,2,"",2021,ITA,ITA_2021,312,1.016,4,254,4,20,33.08,5.23,12.5,94,,,,,,5,1.27
13,46,67,2,"",2021,ITA,ITA_2021,288,3.724,38,98,4,85,21.1,1.01,87.5,113,,,,,,20,1.96
14,49,6,2,"",2021,ITA,ITA_2021,,,,,,,25.84,5.22,,,,,,,,,
15,39,FuPi_097,2,"",2021,ITA,ITA_2021,288,2.8728,18,159.6,2,25,35.6,1.15,25,99,,,,,,20,3.192
16,35,68,2,"",2021,ITA,ITA_2021,235,1.8582,19,97.8,2,0,34.43,0.96,25,93,,,,,,20,1.956
17,6,67,2,"",2021,ITA,ITA_2021,281,10.43,100,104.3,4,90,39.37,9.99,,114,,,,,,20,2.086
18,28,173,2,"",2021,ITA,ITA_2021,260,14.0728,196,71.8,1,40,43.56,11.26,87.5,99,,,,,,20,1.436
