trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,29
Fruit_weight,9.4,5.9
Fruit_number,58,34
Fruit_weight_single,180,55
Color_over,3.2,2.1
Russet_freq_all,74,33
Trunk_diameter,38,8.9
Trunk_increment,6.3,4.1
Flowering_intensity,47,27
Flowering_begin,100,6.7
Flowering_full,100,5
Flowering_end,110,5
Scab,2.5,2.1
Powdery_mildew,2.7,1.5
Scab_fruits,1.1,0.38
Weight_sample,3.5,1.1
Sample_size,20,0
