trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,280,21
Fruit_weight,7.8,3.7
Fruit_number,59,31
Fruit_weight_single,140,38
Color_over,2.3,1.3
Russet_freq_all,91,14
Trunk_diameter,31,7.5
Trunk_increment,5.3,2.9
Flowering_intensity,73,27
Flowering_begin,120,2.6
Flowering_full,94,2.2
Flowering_end,100,2.6
Scab,0.93,0.086
Powdery_mildew,1.5,0.78
Scab_fruits,0.34,0.39
Weight_sample,2.8,0.74
Sample_size,20,0.63
