trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,14
Fruit_weight,3.7,2.1
Fruit_number,22,10
Fruit_weight_single,170,30
Color_over,2.1,1.3
Russet_freq_all,62,29
Trunk_diameter,38,8.6
Trunk_increment,3.3,1.7
Flowering_intensity,16,23
Flowering_begin,100,5.9
Flowering_full,100,7.1
Flowering_end,110,5.5
Scab,3.6,2.7
Powdery_mildew,3.1,1.9
Scab_fruits,1.2,0.46
Weight_sample,2.8,0.75
Sample_size,16,2.8
