trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,18
Fruit_weight,5.4,1.9
Fruit_number,32,11
Fruit_weight_single,170,37
Color_over,2.9,1.4
Russet_freq_all,48,36
Trunk_diameter,21,4
Trunk_increment,3.3,2.1
Flowering_intensity,75,28
Flowering_begin,110,1.9
Flowering_full,99,4.4
Flowering_end,110,4.4
Scab,1.8,1
Powdery_mildew,3.3,1.5
Scab_fruits,0.89,0.54
Weight_sample,3.3,0.72
Sample_size,19,0.91
