trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,19
Fruit_weight,6.6,4.2
Fruit_number,42,29
Fruit_weight_single,170,40
Color_over,2.9,1.1
Russet_freq_all,38,26
Trunk_diameter,29,5.8
Trunk_increment,3.5,2.1
Flowering_intensity,60,43
Flowering_begin,100,1.8
Flowering_full,100,3.4
Flowering_end,110,2.2
Scab,3.4,1.5
Powdery_mildew,4.2,2
Scab_fruits,1.3,0.23
Weight_sample,3,0.56
Sample_size,18,2.8
