trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,3.9
Fruit_weight,5.2,1.2
Fruit_number,30,7.2
Fruit_weight_single,170,6.4
Color_over,1.9,0.72
Russet_freq_all,94,2.7
Trunk_diameter,30,6
Trunk_increment,5.7,3.8
Flowering_intensity,28,18
Flowering_begin,120,2.4
Flowering_full,98,2.9
Flowering_end,110,3.2
Scab,1.1,0.68
Powdery_mildew,1,0.11
Scab_fruits,0.8,0.34
Weight_sample,3.3,0.14
Sample_size,19,0.85
