trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,240,28
Fruit_weight,9.7,8.7
Fruit_number,71,63
Fruit_weight_single,140,51
Color_over,2.2,1.9
Russet_freq_all,100,0
Trunk_diameter,45,11
Trunk_increment,4,3.7
Flowering_intensity,59,26
Flowering_begin,91,8.5
Flowering_full,99,6.7
Flowering_end,110,7.1
Scab,1.7,1.4
Powdery_mildew,1.7,0.37
Scab_fruits,0.87,0.45
Weight_sample,2.7,1.1
Sample_size,19,3.8
