trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,11
Fruit_weight,3,0.98
Fruit_number,16,6.2
Fruit_weight_single,190,21
Color_over,3.1,1.3
Russet_freq_all,57,36
Trunk_diameter,20,4.7
Trunk_increment,3.7,2.7
Flowering_intensity,17,14
Flowering_begin,110,4.6
Flowering_full,110,6.9
Flowering_end,110,5.1
Scab,4.1,2.6
Powdery_mildew,4.4,2.4
Scab_fruits,1.2,0.46
Weight_sample,2.6,0.68
Sample_size,14,4.1
