trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,20
Fruit_weight,3.9,1.8
Fruit_number,21,11
Fruit_weight_single,190,34
Color_over,3,1.7
Russet_freq_all,50,39
Trunk_diameter,23,4.3
Trunk_increment,4.2,1.4
Flowering_intensity,47,36
Flowering_begin,110,2.8
Flowering_full,110,4.8
Flowering_end,110,3
Scab,4.1,2
Powdery_mildew,3.6,1.7
Scab_fruits,1.4,0.21
Weight_sample,2.9,0.93
Sample_size,16,4.8
