trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,21
Fruit_weight,2.3,2.1
Fruit_number,14,14
Fruit_weight_single,180,66
Color_over,2.9,1.7
Russet_freq_all,57,43
Trunk_diameter,18,4.6
Trunk_increment,7.1,3.4
Flowering_intensity,48,31
Flowering_begin,110,0
Flowering_full,99,6
Flowering_end,110,5.2
Scab,1.7,1.5
Powdery_mildew,3.3,2
Scab_fruits,0.92,0.64
Weight_sample,1.8,1.2
Sample_size,11,7.5
