trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,34
Fruit_weight,13,8.5
Fruit_number,75,48
Fruit_weight_single,180,63
Color_over,2.2,1.9
Russet_freq_all,72,24
Trunk_diameter,52,14
Trunk_increment,4.8,4.7
Flowering_intensity,70,24
Flowering_begin,110,8.2
Flowering_full,96,3.4
Flowering_end,100,3.4
Scab,1,0.66
Powdery_mildew,2.4,1.3
Scab_fruits,0.58,0.58
Weight_sample,3.7,1.3
Sample_size,20,0
