trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,13
Fruit_weight,2.4,0.98
Fruit_number,13,5.9
Fruit_weight_single,200,27
Color_over,3.2,1.3
Russet_freq_all,37,39
Trunk_diameter,16,3.3
Trunk_increment,3.4,1.8
Flowering_intensity,29,25
Flowering_begin,110,1.9
Flowering_full,110,4
Flowering_end,110,2.3
Scab,5.2,1.8
Powdery_mildew,4.9,2.1
Scab_fruits,1.5,0.096
Weight_sample,2.1,0.75
Sample_size,11,4.2
