trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,280,29
Fruit_weight,11,6.3
Fruit_number,63,40
Fruit_weight_single,170,57
Color_over,2.7,2
Russet_freq_all,76,32
Trunk_diameter,43,10
Trunk_increment,6.3,4.6
Flowering_intensity,73,32
Flowering_begin,100,9.5
Flowering_full,99,4.8
Flowering_end,110,5.1
Scab,1.9,1.7
Powdery_mildew,2.3,1.2
Scab_fruits,0.81,0.55
Weight_sample,3.5,1.1
Sample_size,20,0
