trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,240,24
Fruit_weight,13,12
Fruit_number,93,92
Fruit_weight_single,150,52
Color_over,1.8,0.73
Russet_freq_all,56,22
Trunk_diameter,48,12
Trunk_increment,4.4,4.8
Flowering_intensity,20,19
Flowering_begin,85,5.5
Flowering_full,96,0
Flowering_end,100,1.5
Scab,0.52,0.24
Powdery_mildew,3.1,1.2
Scab_fruits,0.57,0.18
Weight_sample,2.7,0.83
Sample_size,19,3.4
