trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,17
Fruit_weight,4,2
Fruit_number,26,12
Fruit_weight_single,150,39
Color_over,2.5,1.3
Russet_freq_all,94,2.5
Trunk_diameter,24,5
Trunk_increment,4.8,1.5
Flowering_intensity,62,25
Flowering_begin,120,2.2
Flowering_full,95,2.5
Flowering_end,100,3
Scab,1,0.36
Powdery_mildew,1,0.082
Scab_fruits,0.41,0.37
Weight_sample,2.6,0.85
Sample_size,17,3.5
