trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,21
Fruit_weight,6.8,4.1
Fruit_number,43,27
Fruit_weight_single,170,39
Color_over,2.8,1.4
Russet_freq_all,74,30
Trunk_diameter,33,8.9
Trunk_increment,3.8,2.5
Flowering_intensity,43,29
Flowering_begin,110,4
Flowering_full,100,6
Flowering_end,110,5
Scab,3,2.1
Powdery_mildew,3.1,2.2
Scab_fruits,1,0.48
Weight_sample,3.1,0.64
Sample_size,18,2.5
