trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,16
Fruit_weight,7.5,4.5
Fruit_number,44,29
Fruit_weight_single,180,40
Color_over,2.5,1.5
Russet_freq_all,78,27
Trunk_diameter,34,9.6
Trunk_increment,3.2,2.3
Flowering_intensity,51,32
Flowering_begin,110,7.6
Flowering_full,98,6
Flowering_end,100,4.3
Scab,2,1.8
Powdery_mildew,2.4,2.4
Scab_fruits,0.64,0.58
Weight_sample,3.2,0.69
Sample_size,18,2.3
