trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,240,26
Fruit_weight,13,6.3
Fruit_number,86,40
Fruit_weight_single,150,11
Color_over,2.4,0.5
Russet_freq_all,70,12
Trunk_diameter,58,13
Trunk_increment,3.6,3
Flowering_intensity,70,34
Flowering_begin,89,2.6
Flowering_full,93,1.5
Flowering_end,99,3.2
Scab,0.38,0.14
Powdery_mildew,2.8,0.75
Scab_fruits,0.12,0.097
Weight_sample,2.9,0.23
Sample_size,20,0.28
