Genotype,Envir,Management,Row,Position,Fruit_number,R,P,Fruit_number_spats_residuals,Fruit_number_spats_geno_pred_values,Fruit_number_spats_adj_pheno
34,BEL_2021_2,2,14,62,42,14,62,5.08676220245295,36.8088556169695,41.8956178194225
34,BEL_2021_2,2,15,7,51,15,7,12.6035377250963,36.8088556169695,49.4123933420658
353,BEL_2021_2,2,13,4,15,13,4,-8.53753838327944,21.8605138267197,13.3229754434402
353,BEL_2021_2,2,12,78,11,12,78,-6.68591949971622,21.8605138267197,15.1745943270035
405,BEL_2021_2,2,15,93,52,15,93,15.3462250133919,36.9104538875076,52.2566789008995
405,BEL_2021_2,2,14,8,48,14,8,2.56777737677034,36.9104538875076,39.4782312642779
409,BEL_2021_2,2,12,61,15,12,61,-6.38883474499623,24.2999453665715,17.9111106215753
409,BEL_2021_2,2,14,36,25,14,36,-3.46340136472839,24.2999453665715,20.8365440018431
424,BEL_2021_2,2,15,42,3,15,42,-18.2956820821054,20.4652110585303,2.16952897642486
435,BEL_2021_2,2,13,71,44,13,71,17.582446911783,26.6794768101812,44.2619237219642
435,BEL_2021_2,2,13,44,5,13,44,-22.1953512791313,26.6794768101812,4.48412553104993
45,BEL_2021_2,2,15,100,9,15,100,-14.9876327846791,24.3940874221905,9.40645463751139
45,BEL_2021_2,2,15,22,31,15,22,5.34268179472939,24.3940874221905,29.7367692169199
457,BEL_2021_2,2,14,3,56,14,3,13.7464457852059,32.9531459288026,46.6995917140086
457,BEL_2021_2,2,13,76,28,13,76,-4.54577612198948,32.9531459288026,28.4073698068132
468,BEL_2021_2,2,14,34,62,14,34,19.6711719692144,37.8546551251368,57.5258270943512
468,BEL_2021_2,2,12,105,32,12,105,0.321804215888211,37.8546551251368,38.176459341025
473,BEL_2021_2,2,15,15,7,15,15,-15.9470052738477,21.5319024976166,5.58489722376894
49,BEL_2021_2,2,13,32,26,13,32,3.85780802088749,21.2792118570112,25.1370198778987
49,BEL_2021_2,2,15,77,1,15,77,-20.3611959800244,21.2792118570112,0.91801587698675
526,BEL_2021_2,2,15,64,47,15,64,12.2853328814212,34.3540980886549,46.6394309700761
546,BEL_2021_2,2,12,91,3,12,91,-17.2969602082062,25.4375797363355,8.14061952812927
546,BEL_2021_2,2,14,1,45,14,1,9.94960541901613,25.4375797363355,35.3871851553516
560,BEL_2021_2,2,12,31,9,12,31,-8.14795636098814,17.8220134396851,9.67405707869693
560,BEL_2021_2,2,15,74,2,15,74,-15.9676064472072,17.8220134396851,1.85440699247784
575,BEL_2021_2,2,13,13,24,13,13,-1.89672234134694,24.4820382451853,22.5853159038383
575,BEL_2021_2,2,14,75,15,14,75,-7.55457559143365,24.4820382451853,16.9274626537516
587,BEL_2021_2,2,15,105,16,15,105,-8.43272605784782,24.9446399515013,16.5119138936535
6,BEL_2021_2,2,14,86,6,14,86,-13.1559986073323,22.7994855499709,9.64348694263861
601,BEL_2021_2,2,14,27,32,14,27,1.35067057948039,25.0851991678983,26.4358697473787
601,BEL_2021_2,2,14,105,9,14,105,-9.47390866391643,25.0851991678983,15.6112905039819
603,BEL_2021_2,2,15,103,67,15,103,29.7404345250668,37.7294426413561,67.469877166423
603,BEL_2021_2,2,12,18,28,12,18,-10.0231553653493,37.7294426413561,27.7062872760069
65,BEL_2021_2,2,15,1,17,15,1,-5.10302178593888,20.3848014047123,15.2817796187734
65,BEL_2021_2,2,13,62,9,13,62,-11.3810182750996,20.3848014047123,9.00378312961269
65,BEL_2021_2,2,15,104,22,15,104,2.10707769896784,20.3848014047123,22.4918791036801
65,BEL_2021_2,2,12,40,20,12,40,0.95940311358877,20.3848014047123,21.3442045183011
65,BEL_2021_2,2,15,18,26,15,18,4.26501882953941,20.3848014047123,24.6498202342517
65,BEL_2021_2,2,12,90,6,12,90,-9.32019032237431,20.3848014047123,11.064611082338
652,BEL_2021_2,2,15,92,27,15,92,4.65730242735324,22.579246698974,27.2365491263272
652,BEL_2021_2,2,14,26,10,14,26,-18.2982302866319,22.579246698974,4.28101641234206
653,BEL_2021_2,2,15,13,6,15,13,-16.6639972437738,21.2062684241993,4.54227118042547
67,BEL_2021_2,2,14,15,39,14,15,3.82150965477508,27.746635301377,31.5681449561521
67,BEL_2021_2,2,15,65,22,15,65,-6.08470884294465,27.746635301377,21.6619264584324
68,BEL_2021_2,2,15,3,19,15,3,-7.20332656013282,24.5292258671705,17.3258993070377
68,BEL_2021_2,2,15,99,22,15,99,-2.14407209181318,24.5292258671705,22.3851537753573
691,BEL_2021_2,2,12,30,113,12,30,69.5811588320341,44.0153981939719,113.596557026006
691,BEL_2021_2,2,12,89,3,12,89,-36.0232529613595,44.0153981939719,7.9921452326124
737,BEL_2021_2,2,13,84,7,13,84,-14.5338014745115,22.1737329909123,7.6399315164008
739,BEL_2021_2,2,13,92,7,13,92,-7.248701781447,15.1225186158717,7.87381683442475
739,BEL_2021_2,2,12,22,1,12,22,-14.118063512658,15.1225186158717,1.00445510321375
739,BEL_2021_2,2,12,68,3,12,68,-8.69263530483219,15.1225186158717,6.42988331103956
74,BEL_2021_2,2,13,36,24,13,36,-5.77539906102223,29.0284445575856,23.2530454965633
74,BEL_2021_2,2,14,97,30,14,97,6.33453026977215,29.0284445575856,35.3629748273577
740,BEL_2021_2,2,14,82,26,14,82,7.62291979043941,21.3965423510604,29.0194621414999
740,BEL_2021_2,2,12,9,19,12,9,-3.35892002798001,21.3965423510604,18.0376223230804
740,BEL_2021_2,2,15,29,2,15,29,-20.5090455242398,21.3965423510604,0.887496826820627
750,BEL_2021_2,2,15,44,14,15,44,-10.7026080368392,23.9137345215956,13.2111264847564
8,BEL_2021_2,2,13,9,12,13,9,-10.9988616429937,21.4680071537399,10.4691455107463
8,BEL_2021_2,2,13,75,16,13,75,-5.08883053132018,21.4680071537399,16.3791766224198
80,BEL_2021_2,2,13,61,6,13,61,-23.359718326688,29.3356568698748,5.97593854318683
80,BEL_2021_2,2,15,31,55,15,31,24.5952798569401,29.3356568698748,53.9309367268149
81,BEL_2021_2,2,13,12,39,13,12,9.01674619305971,28.5386299473978,37.5553761404575
81,BEL_2021_2,2,15,81,19,15,81,-9.53610513913783,28.5386299473978,19.0025248082599
89,BEL_2021_2,2,12,25,24,12,25,-3.12715504695792,27.3542550832568,24.2271000362989
9,BEL_2021_2,2,15,66,29,15,66,-3.45298214950605,32.1370621645732,28.6840800150671
9,BEL_2021_2,2,14,37,47,14,37,10.8567713462558,32.1370621645732,42.9938335108289
929,BEL_2021_2,2,12,103,8,12,103,-10.1403918875315,24.1690745289028,14.0286826413713
997,BEL_2021_2,2,12,17,48,12,17,12.0494313078271,35.5818529064459,47.631284214273
997,BEL_2021_2,2,14,66,38,14,66,2.93921310409839,35.5818529064459,38.5210660105443
ACW_25454,BEL_2021_2,2,14,92,19,14,92,-5.40365787538093,28.9857787648246,23.5821208894436
ACW_25454,BEL_2021_2,2,12,20,35,12,20,5.86884611778477,28.9857787648246,34.8546248826093
ACW_25469,BEL_2021_2,2,15,36,45,15,36,10.8763949687258,33.1620458123756,44.0384407811015
ACW_25469,BEL_2021_2,2,13,60,32,13,60,-1.21576257044166,33.1620458123756,31.946283241934
ACW_25584,BEL_2021_2,2,12,4,9,12,4,-9.99121503945756,17.6564927988488,7.66527775939126
ACW_25584,BEL_2021_2,2,13,102,2,13,102,-14.4887966394938,17.6564927988488,3.16769615935504
ACW_25591,BEL_2021_2,2,14,25,48,14,25,4.15794070452188,37.9667683861151,42.124709090637
ACW_25591,BEL_2021_2,2,13,98,53,13,98,16.0818902000522,37.9667683861151,54.0486585861673
DLO_12_066,BEL_2021_2,2,13,2,26,13,2,-3.10121838598031,27.3660346580906,24.2648162721103
DLO_12_084,BEL_2021_2,2,15,72,27,15,72,0.661320480535323,26.1491199571806,26.8104404377159
DLO_12_084,BEL_2021_2,2,14,48,22,14,48,-6.44198226591453,26.1491199571806,19.7071376912661
DLO_12_233,BEL_2021_2,2,13,85,32,13,85,9.38315650258443,23.2847134637038,32.6678699662882
DLO_12_233,BEL_2021_2,2,12,6,3,12,6,-21.4707640964105,23.2847134637038,1.81394936729324
DLO_12_289,BEL_2021_2,2,15,47,52,15,47,15.4728875439333,35.8017801444265,51.2746676883598
FuGa_187,BEL_2021_2,2,13,103,11,13,103,-23.1465798865099,35.342833561145,12.1962536746351
FuGa_187,BEL_2021_2,2,15,32,74,15,32,37.6089435273868,35.342833561145,72.9517770885317
FuGa_215,BEL_2021_2,2,14,91,14,14,91,-9.66154511763861,28.088737372479,18.4271922548404
FuGa_215,BEL_2021_2,2,14,45,39,14,45,8.15159768626799,28.088737372479,36.240335058747
FuGa_243,BEL_2021_2,2,14,43,45,14,43,9.04581390875303,32.8828155593799,41.928629468133
FuPi_005,BEL_2021_2,2,13,79,47,13,79,12.8734056377232,34.6211813129205,47.4945869506437
FuPi_023,BEL_2021_2,2,15,95,11,15,95,-9.67092616153431,20.9699533709895,11.2990272094552
FuPi_023,BEL_2021_2,2,13,43,14,13,43,-7.51339745271404,20.9699533709895,13.4565559182754
FuPi_114,BEL_2021_2,2,13,83,33,13,83,5.89167290770266,27.7187236906185,33.6103965983211
FuPi_114,BEL_2021_2,2,14,21,26,14,21,-8.21632881190801,27.7187236906185,19.5023948787105
GaCr_010,BEL_2021_2,2,12,45,16,12,45,-7.78558632194133,25.5033659253186,17.7177796033773
GaCr_010,BEL_2021_2,2,15,85,26,15,85,0.583081759074204,25.5033659253186,26.0864476843928
GaCr_041,BEL_2021_2,2,15,38,41,15,38,8.00906783899924,32.0719752591875,40.0810430981867
GaCr_041,BEL_2021_2,2,12,80,27,12,80,-0.748589162610873,32.0719752591875,31.3233860965766
GaCr_043,BEL_2021_2,2,13,72,41,13,72,5.30562005550134,35.9853364896863,41.2909565451876
GaCr_043,BEL_2021_2,2,12,16,47,12,16,10.5714279750762,35.9853364896863,46.5567644647625
GaCr_052,BEL_2021_2,2,15,45,3,15,45,-14.5561891907964,16.7899016109908,2.23371242019438
GaCr_052,BEL_2021_2,2,14,88,1,14,88,-11.831911885503,16.7899016109908,4.95798972548783
GaPi_014,BEL_2021_2,2,14,99,14,14,99,-9.07942040333376,28.7544848827451,19.6750644794113
GaPi_014,BEL_2021_2,2,14,10,46,14,10,9.03533805742457,28.7544848827451,37.7898229401696
GaPi_023,BEL_2021_2,2,15,30,30,15,30,0.0906228973090677,28.8156635554495,28.9062864527586
