Genotype,Envir,Management,Row,Position,Flowering_full,R,P,Flowering_full_spats_residuals,Flowering_full_spats_geno_pred_values,Flowering_full_spats_adj_pheno
12_E043,ESP_2019_1,1,12,94,87,12,94,-0.782878869620532,87.9103284671117,87.1274495974912
12_E043,ESP_2019_1,1,1,124,85,1,124,-1.79443958843022,87.9103284671117,86.1158888786815
12_E043,ESP_2019_1,1,11,14,87,11,14,-0.658516367790924,87.9103284671117,87.2518120993208
12_F002,ESP_2019_1,1,6,128,101,6,128,2.28840690517433,96.9549496519599,99.2433565571343
12_F002,ESP_2019_1,1,2,55,98,2,55,1.36044748339356,96.9549496519599,98.3153971353535
12_F007,ESP_2019_1,1,1,85,98,1,85,2.57611752900348,95.8823750891508,98.4584926181543
12_F014,ESP_2019_1,1,9,14,93,9,14,-3.94713338150703,97.7395046975077,93.7923713160006
12_F014,ESP_2019_1,1,12,31,101,12,31,3.42510574202302,97.7395046975077,101.164610439531
12_F014,ESP_2019_1,1,12,69,101,12,69,3.63964369317019,97.7395046975077,101.379148390678
12_F014,ESP_2019_1,1,1,127,98,1,127,1.31591209547553,97.7395046975077,99.0554167929832
12_F019,ESP_2019_1,1,1,18,92,1,18,-1.67989145599324,91.9699775785653,90.290086122572
12_F019,ESP_2019_1,1,1,74,92,1,74,0.343019469488766,91.9699775785653,92.312997048054
12_F023,ESP_2019_1,1,3,37,92,3,37,-0.773659915162227,92.754239881369,91.9805799662067
12_F023,ESP_2019_1,1,8,89,93,8,89,0.221168902210522,92.754239881369,92.9754087835795
12_F040,ESP_2019_1,1,4,24,98,4,24,0.449270504282865,97.5483563488454,97.9976268531282
12_F040,ESP_2019_1,1,7,66,101,7,66,3.79308037257964,97.5483563488454,101.341436721425
12_F045,ESP_2019_1,1,9,28,101,9,28,3.03814545838884,98.7504231430541,101.788568601443
12_F045,ESP_2019_1,1,7,72,101,7,72,2.40645410357097,98.7504231430541,101.156877246625
12_F046,ESP_2019_1,1,9,109,93,9,109,-4.87584317843748,97.3259043864974,92.4500612080599
12_F046,ESP_2019_1,1,1,42,107,1,42,8.89570843260543,97.3259043864974,106.221612819103
12_F052,ESP_2019_1,1,1,13,92,1,13,-2.17817911401347,92.3765773872728,90.1983982732594
12_F052,ESP_2019_1,1,8,68,93,8,68,1.24796846091778,92.3765773872728,93.6245458481906
12_F054,ESP_2019_1,1,7,125,87,7,125,-4.55624521459082,89.9588260452727,85.4025808306819
12_F054,ESP_2019_1,1,2,7,92,2,7,1.20791737714603,89.9588260452727,91.1667434224188
12_I002,ESP_2019_1,1,8,115,87,8,115,-2.85430279918465,88.966777097657,86.1124742984724
12_I002,ESP_2019_1,1,7,60,87,7,60,-1.48622409788736,88.966777097657,87.4805529997697
12_I003,ESP_2019_1,1,11,68,94,11,68,0.840738031932531,93.6263828912172,94.4671209231497
12_I003,ESP_2019_1,1,10,19,94,10,19,0.913565497180983,93.6263828912172,94.5399483883982
12_I003,ESP_2019_1,1,5,20,92,5,20,-1.0703305972259,93.6263828912172,92.5560522939913
12_I003,ESP_2019_1,1,13,24,94,13,24,0.490804941998903,93.6263828912172,94.1171878332161
12_I003,ESP_2019_1,1,5,100,93,5,100,-0.854993908560488,93.6263828912172,92.7713889826567
12_I005,ESP_2019_1,1,4,48,92,4,48,-0.375335045490175,92.5478397673434,92.1725047218532
12_I005,ESP_2019_1,1,4,81,92,4,81,-0.383587312946219,92.5478397673434,92.1642524543972
12_I010,ESP_2019_1,1,2,56,92,2,56,-0.327908803610015,92.6918271708842,92.3639183672741
12_I010,ESP_2019_1,1,8,107,93,8,107,-0.287004363813466,92.6918271708842,92.4048228070707
12_I037,ESP_2019_1,1,4,78,92,4,78,-0.974816071187377,93.2175743788326,92.2427583076452
12_I037,ESP_2019_1,1,11,48,94,11,48,1.16849403410629,93.2175743788326,94.3860684129389
12_I037,ESP_2019_1,1,3,29,92,3,29,-1.38546484544229,93.2175743788326,91.8321095333903
12_I037,ESP_2019_1,1,12,70,94,12,70,1.10270047655355,93.2175743788326,94.3202748553862
12_I049,ESP_2019_1,1,12,22,94,12,22,0.274707601131126,93.8390658721742,94.1137734733053
12_I049,ESP_2019_1,1,10,18,94,10,18,0.730943307463051,93.8390658721742,94.5700091796372
12_I049,ESP_2019_1,1,7,2,93,7,2,0.238856258331438,93.8390658721742,94.0779221305056
12_I049,ESP_2019_1,1,13,115,94,13,115,0.0535508455776323,93.8390658721742,93.8926167177518
12_I049,ESP_2019_1,1,5,87,93,5,87,-0.765558884068256,93.8390658721742,93.0735069881059
12_I056,ESP_2019_1,1,1,1,92,1,1,-2.02032959250576,92.0088065915864,89.9884769990806
12_I056,ESP_2019_1,1,1,96,92,1,96,0.722292494439188,92.0088065915864,92.7310990860255
12_I059,ESP_2019_1,1,13,96,87,13,96,-2.9094791109995,90.2712426971384,87.3617635861389
12_I059,ESP_2019_1,1,4,86,86,4,86,-4.21746625382733,90.2712426971384,86.0537764433111
12_I059,ESP_2019_1,1,11,33,94,11,33,4.09108145261274,90.2712426971384,94.3623241497511
12_I062,ESP_2019_1,1,3,105,86,3,105,-4.41685030648384,90.778957523179,86.3621072166951
12_I062,ESP_2019_1,1,5,13,92,5,13,1.88877804524343,90.778957523179,92.6677355684224
12_I064,ESP_2019_1,1,13,69,87,13,69,-3.07656457039684,90.6748231740892,87.5982586036924
12_I064,ESP_2019_1,1,6,9,93,6,9,2.98489227200126,90.6748231740892,93.6597154460905
12_I064,ESP_2019_1,1,12,23,87,12,23,-3.589231228062,90.6748231740892,87.0855919460272
12_I064,ESP_2019_1,1,7,118,93,7,118,1.04868115902519,90.6748231740892,91.7235043331144
12_J001,ESP_2019_1,1,6,2,93,6,2,-4.50880126969824,98.3033247834782,93.79452351378
12_J001,ESP_2019_1,1,4,98,108,4,98,9.50623481933729,98.3033247834782,107.809559602815
12_J004,ESP_2019_1,1,9,1,93,9,1,-1.33599195469311,95.362051643118,94.0260596884249
12_J004,ESP_2019_1,1,2,113,98,2,113,3.39170730485594,95.362051643118,98.7537589479739
12_J011,ESP_2019_1,1,6,4,86,6,4,-3.95521772591353,90.703672250063,86.7484545241494
12_J011,ESP_2019_1,1,4,80,92,4,80,1.35184879975635,90.703672250063,92.0555210498193
12_J013,ESP_2019_1,1,13,117,94,13,117,1.39313173538925,92.2570152928948,93.650147028284
12_J013,ESP_2019_1,1,12,3,87,12,3,-5.0647219444084,92.2570152928948,87.1922933484863
12_J013,ESP_2019_1,1,8,21,93,8,21,1.67599408629752,92.2570152928948,93.9330093791923
12_J013,ESP_2019_1,1,10,88,94,10,88,1.92511409813598,92.2570152928948,94.1821293910307
12_J013,ESP_2019_1,1,4,122,92,4,122,-0.979308814442462,92.2570152928948,91.2777064784523
12_J015,ESP_2019_1,1,3,39,108,3,39,4.35805300441601,103.712845598523,108.070898602939
12_J015,ESP_2019_1,1,11,28,94,11,28,-9.33405179024193,103.712845598523,94.3787938082811
12_J015,ESP_2019_1,1,9,117,116,9,117,11.156404745018,103.712845598523,114.869250343541
12_J015,ESP_2019_1,1,13,111,108,13,111,4.22736694781621,103.712845598523,107.940212546339
12_J019,ESP_2019_1,1,6,77,101,6,77,-0.0687790515971614,100.975622368879,100.906843317282
12_J019,ESP_2019_1,1,7,21,108,7,21,7.73891454568319,100.975622368879,108.714536914562
12_J027,ESP_2019_1,1,12,1,94,12,1,0.504489488905421,93.5821557845825,94.0866452734879
12_J027,ESP_2019_1,1,12,77,94,12,77,0.782888864733948,93.5821557845825,94.3650446493164
12_J027,ESP_2019_1,1,5,18,92,5,18,-1.01182818717811,93.5821557845825,92.5703275974044
12_J028,ESP_2019_1,1,9,104,101,9,104,4.73199213643028,95.7208855970995,100.45287773353
12_J028,ESP_2019_1,1,6,25,93,6,25,-2.31738853528069,95.7208855970995,93.4034970618189
12_J029,ESP_2019_1,1,6,3,93,6,3,-1.20176002081921,95.141015959794,93.9392559389747
12_J029,ESP_2019_1,1,3,116,98,3,116,3.03640624161579,95.141015959794,98.1774222014097
12_J031,ESP_2019_1,1,13,40,94,13,40,2.35893712812654,91.9543349890684,94.3132721171949
12_J031,ESP_2019_1,1,9,13,93,9,13,1.83125459506104,91.9543349890684,93.7855895841294
12_J031,ESP_2019_1,1,5,113,93,5,113,0.327607018547084,91.9543349890684,92.2819420076154
12_J031,ESP_2019_1,1,11,128,87,11,128,-5.87031568469689,91.9543349890684,86.0840193043715
12_K001,ESP_2019_1,1,1,56,92,1,56,-0.783769832804566,92.6127823330209,91.8290125002164
12_K001,ESP_2019_1,1,7,90,93,7,90,0.0897998668379785,92.6127823330209,92.7025821998589
12_K010,ESP_2019_1,1,2,53,92,2,53,-0.570187548631353,92.7365460230375,92.1663584744062
12_K016,ESP_2019_1,1,2,17,92,2,17,-1.24653141293705,92.4439346656909,91.1974032527539
12_K016,ESP_2019_1,1,2,116,92,2,116,0.383688230434672,92.4439346656909,92.8276228961256
12_K018,ESP_2019_1,1,6,113,93,6,113,-1.19273135805649,92.8837640462221,91.6910326881656
12_K018,ESP_2019_1,1,7,24,93,7,24,0.769784108923446,92.8837640462221,93.6535481551456
12_K023,ESP_2019_1,1,5,42,86,5,42,-4.09314893357241,90.6742048438538,86.5810559102814
12_K023,ESP_2019_1,1,8,113,93,8,113,1.46030814234176,90.6742048438538,92.1345129861955
12_K024,ESP_2019_1,1,13,9,94,13,9,1.24286461011781,92.8231287230239,94.0659933331417
12_K024,ESP_2019_1,1,12,81,94,12,81,1.50752143653797,92.8231287230239,94.3306501595618
12_K024,ESP_2019_1,1,5,126,93,5,126,-0.944348040710636,92.8231287230239,91.8787806823132
12_K024,ESP_2019_1,1,1,25,92,1,25,-2.2896297533178,92.8231287230239,90.5334989697061
12_K044,ESP_2019_1,1,7,41,93,7,41,0.587321416452582,92.9581872276621,93.5455086441147
12_K044,ESP_2019_1,1,4,88,92,4,88,-0.93583422279265,92.9581872276621,92.0223530048695
12_K045,ESP_2019_1,1,4,2,98,4,2,3.51420771463755,94.6254973729054,98.1397050875429
12_K045,ESP_2019_1,1,3,94,92,3,94,-2.19515808648953,94.6254973729054,92.4303392864158
12_K049,ESP_2019_1,1,9,103,101,9,103,3.8439701951545,96.6340093961639,100.477979591318
12_K049,ESP_2019_1,1,5,54,98,5,54,2.01421303128667,96.6340093961639,98.6482224274506
12_K049,ESP_2019_1,1,12,8,94,12,8,-2.53031765678453,96.6340093961639,94.1036917393794
12_L001,ESP_2019_1,1,10,85,94,10,85,1.90531855565506,92.3204710213643,94.2257895770194
12_L001,ESP_2019_1,1,13,97,94,13,97,1.97424318953463,92.3204710213643,94.2947142108989
12_L001,ESP_2019_1,1,3,80,92,3,80,0.0296468145321001,92.3204710213643,92.3501178358964
12_L001,ESP_2019_1,1,4,26,92,4,26,-0.242211989704359,92.3204710213643,92.0782590316599
12_L001,ESP_2019_1,1,13,55,87,13,55,-4.65332207876321,92.3204710213643,87.6671489426011
12_L012,ESP_2019_1,1,4,89,92,4,89,1.42394540512848,90.5290951924262,91.9530405975547
12_L012,ESP_2019_1,1,4,55,86,4,55,-4.20191780507186,90.5290951924262,86.3271773873544
12_L013,ESP_2019_1,1,6,14,86,6,14,-2.15773518849319,88.7359947141107,86.5782595256175
12_L013,ESP_2019_1,1,3,99,86,3,99,-2.41360901299059,88.7359947141107,86.3223857011201
12_L018,ESP_2019_1,1,8,129,93,8,129,-1.16537049486654,92.7168365789983,91.5514660841317
12_L018,ESP_2019_1,1,6,52,93,6,52,0.575470519858953,92.7168365789983,93.2923070988572
12_L021,ESP_2019_1,1,2,88,98,2,88,3.60101540780499,95.1274828257493,98.7284982335543
12_L021,ESP_2019_1,1,6,56,93,6,56,-1.77990436882109,95.1274828257493,93.3475784569283
12_N021,ESP_2019_1,1,3,114,92,3,114,-0.872482807263154,93.0613585762673,92.1888757690041
12_N021,ESP_2019_1,1,9,18,93,9,18,0.627156960913979,93.0613585762673,93.6885155371813
12_N034,ESP_2019_1,1,3,81,92,3,81,-0.585940334840146,93.0554612752556,92.4695209404154
12_N034,ESP_2019_1,1,6,24,93,6,24,0.334716295128544,93.0554612752556,93.3901775703841
12_N039,ESP_2019_1,1,2,107,92,2,107,-0.0392893716742009,92.8325057396865,92.7932163680123
12_N039,ESP_2019_1,1,3,56,92,3,56,-0.434923940151549,92.8325057396865,92.397581799535
12_N041,ESP_2019_1,1,3,75,86,3,75,-2.1567066456368,88.6614504790076,86.5047438333708
12_N041,ESP_2019_1,1,2,52,86,2,52,-2.48919307062049,88.6614504790076,86.1722574083872
12_N046,ESP_2019_1,1,7,74,93,7,74,1.7818873136308,91.4242938301933,93.2061811438241
12_N046,ESP_2019_1,1,2,33,92,2,33,0.254246904014678,91.4242938301933,91.678540734208
12_N046,ESP_2019_1,1,12,54,87,12,54,-3.91877252272714,91.4242938301933,87.5055213074662
12_N052,ESP_2019_1,1,5,63,86,5,63,-2.8503310949751,89.4057215192078,86.5553904242327
12_N052,ESP_2019_1,1,12,41,94,12,41,4.82377960563412,89.4057215192078,94.2295011248419
12_N052,ESP_2019_1,1,1,95,85,1,95,-3.69291564319126,89.4057215192078,85.7128058760166
12_N052,ESP_2019_1,1,13,101,87,13,101,-2.18204892405889,89.4057215192078,87.223672595149
12_N057,ESP_2019_1,1,5,107,93,5,107,-1.10252480067845,93.6122522525026,92.5097274518241
12_N057,ESP_2019_1,1,13,32,94,13,32,0.789183242715552,93.6122522525026,94.4014354952181
12_N057,ESP_2019_1,1,8,8,93,8,8,0.618992746395037,93.6122522525026,94.2312449988976
12_N062,ESP_2019_1,1,10,58,87,10,58,-2.7981257445294,90.5188263322621,87.7207005877327
12_N062,ESP_2019_1,1,13,26,87,13,26,-3.30325105487991,90.5188263322621,87.2155752773822
12_N062,ESP_2019_1,1,2,109,86,2,109,-3.61326933658206,90.5188263322621,86.9055569956801
12_N062,ESP_2019_1,1,6,15,93,6,15,3.02222108413216,90.5188263322621,93.5410474163943
12_N062,ESP_2019_1,1,13,90,94,13,90,3.90418223791799,90.5188263322621,94.4230085701801
12_N063,ESP_2019_1,1,2,86,92,2,86,1.26441140585621,91.4511138120326,92.7155252178888
12_N063,ESP_2019_1,1,12,104,87,12,104,-4.67266479307267,91.4511138120326,86.77844901896
12_N063,ESP_2019_1,1,1,9,92,1,9,-1.3372731951263,91.4511138120326,90.1138406169063
12_N063,ESP_2019_1,1,12,44,94,12,44,2.88971231736947,91.4511138120326,94.3408261294021
12_O010,ESP_2019_1,1,4,19,116,4,19,7.55608000226955,108.409136232607,115.965216234876
12_O010,ESP_2019_1,1,5,89,116,5,89,7.54869415863176,108.409136232607,115.957830391239
12_O011,ESP_2019_1,1,8,14,93,8,14,0.893922516609337,93.162744789967,94.0566673065763
12_O011,ESP_2019_1,1,6,102,93,6,102,-1.03784680799119,93.162744789967,92.1248979819758
12_O014,ESP_2019_1,1,4,74,98,4,74,-1.24044803725248,99.4969427035095,98.256494666257
12_O014,ESP_2019_1,1,1,64,107,1,64,7.43168011936898,99.4969427035095,106.928622822878
12_O017,ESP_2019_1,1,13,42,101,13,42,2.04888362052937,99.4024140933737,101.451297713903
12_O017,ESP_2019_1,1,9,68,101,9,68,2.13003091296956,99.4024140933737,101.532445006343
12_O017,ESP_2019_1,1,11,109,94,11,109,-5.71458315303372,99.4024140933737,93.68783094034
12_O017,ESP_2019_1,1,2,46,107,2,46,7.63235778790661,99.4024140933737,107.03477188128
12_O026,ESP_2019_1,1,2,19,92,2,19,-3.15469213418101,94.3650730590197,91.2103809248387
12_O026,ESP_2019_1,1,10,34,94,10,34,0.302428649245741,94.3650730590197,94.6675017082654
12_O026,ESP_2019_1,1,1,86,98,1,86,4.1416030902283,94.3650730590197,98.506676149248
12_O026,ESP_2019_1,1,11,35,94,11,35,-0.00664259607994211,94.3650730590197,94.3584304629397
12_O026,ESP_2019_1,1,12,92,94,12,92,-0.224111101089235,94.3650730590197,94.1409619579304
12_O056,ESP_2019_1,1,7,95,93,7,95,-0.175877918369352,92.7532489042865,92.5773709859171
12_O056,ESP_2019_1,1,2,58,92,2,58,-0.377604221614618,92.7532489042865,92.3756446826718
12_O061,ESP_2019_1,1,3,51,92,3,51,0.00371648975787764,92.0378617246929,92.0415782144508
12_O061,ESP_2019_1,1,11,34,94,11,34,2.32247147228597,92.0378617246929,94.3603331969788
12_O061,ESP_2019_1,1,8,70,93,8,70,1.41034072718938,92.0378617246929,93.4482024518823
12_O061,ESP_2019_1,1,11,89,87,11,89,-5.00550625771187,92.0378617246929,87.032355466981
12_O063,ESP_2019_1,1,12,14,94,12,14,0.793103240904884,93.240201687736,94.0333049286408
12_O063,ESP_2019_1,1,4,37,92,4,37,-1.11067610024021,93.240201687736,92.1295255874957
12_O063,ESP_2019_1,1,9,113,93,9,113,-1.08689683730962,93.240201687736,92.1533048504263
12_O063,ESP_2019_1,1,13,81,94,13,81,1.33801402343242,93.240201687736,94.5782157111684
12_O072,ESP_2019_1,1,4,1,92,4,1,-2.59551905055302,94.7993254658364,92.2038064152834
12_O072,ESP_2019_1,1,1,105,98,1,105,4.08842307445215,94.7993254658364,98.8877485402886
12_O074,ESP_2019_1,1,5,25,98,5,25,1.80090404534057,96.7469743729746,98.5478784183152
12_O074,ESP_2019_1,1,3,85,98,3,85,1.63994359443655,96.7469743729746,98.3869179674112
12_P001,ESP_2019_1,1,3,11,98,3,11,3.05178768507491,94.5971837778792,97.6489714629541
12_P001,ESP_2019_1,1,2,100,92,2,100,-1.76105593622803,94.5971837778792,92.8361278416512
12_P002,ESP_2019_1,1,2,30,92,2,30,-0.866188814163294,92.4405895401981,91.5744007260348
12_P003,ESP_2019_1,1,4,56,92,4,56,-0.476120820291882,92.8305985198117,92.3544776995198
12_P018,ESP_2019_1,1,8,67,101,8,67,4.69941382325362,96.8219101656524,101.521323988906
12_P018,ESP_2019_1,1,11,60,87,11,60,-9.30688533895109,96.8219101656524,87.5150248267013
12_P018,ESP_2019_1,1,6,44,101,6,44,4.54065882403819,96.8219101656524,101.362568989691
12_P018,ESP_2019_1,1,11,116,101,11,116,3.58260746303309,96.8219101656524,100.404517628686
12_P025,ESP_2019_1,1,5,34,86,5,34,-4.15152267011514,90.7530883624987,86.6015656923836
12_P025,ESP_2019_1,1,5,111,93,5,111,1.59757733379902,90.7530883624987,92.3506656962977
12_P027,ESP_2019_1,1,8,94,87,8,94,-4.28704894074092,91.2183836393376,86.9313346985967
