Genotype,Envir,Management,Row,Position,Flowering_begin,R,P,Flowering_begin_spats_residuals,Flowering_begin_spats_geno_pred_values,Flowering_begin_spats_adj_pheno
12_E039,BEL_2018_1,1,19,68,110,19,68,0.0952875833363294,109.974574504774,110.069862088111
12_E043,BEL_2018_1,1,21,48,110,21,48,0.268826478133676,109.682762689486,109.95158916762
12_E043,BEL_2018_1,1,19,88,109,19,88,-0.585469615479653,109.682762689486,109.097293074006
12_F002,BEL_2018_1,1,24,109,111,24,109,0.518072251588961,110.678905065777,111.196977317366
12_F002,BEL_2018_1,1,22,6,111,22,6,0.23045246863343,110.678905065777,110.90935753441
12_F007,BEL_2018_1,1,20,51,111,20,51,0.961818936150465,110.033470379284,110.995289315435
12_F007,BEL_2018_1,1,20,97,109,20,97,-0.903452870528426,110.033470379284,109.130017508756
12_F019,BEL_2018_1,1,26,90,110,26,90,-0.134001509668536,110.251209845586,110.117208335917
12_F019,BEL_2018_1,1,19,4,111,19,4,0.425194816002772,110.251209845586,110.676404661589
12_F023,BEL_2018_1,1,19,31,111,19,31,0.226541649122396,110.634086399722,110.860628048845
12_F023,BEL_2018_1,1,25,99,111,25,99,0.474058794774791,110.634086399722,111.108145194497
12_F040,BEL_2018_1,1,20,6,111,20,6,0.16665854119357,110.589236960962,110.755895502156
12_F040,BEL_2018_1,1,18,109,111,18,109,0.485984721346455,110.589236960962,111.075221682309
12_F045,BEL_2018_1,1,23,110,111,23,110,0.642094825227346,110.579372088176,111.221466913403
12_F046,BEL_2018_1,1,24,6,110,24,6,0.0126338515816968,109.98978739388,110.002421245462
12_F046,BEL_2018_1,1,17,88,110,17,88,-0.000977687157387663,109.98978739388,109.988809706723
12_F052,BEL_2018_1,1,25,74,110,25,74,-0.173022929387471,110.240181142223,110.067158212836
12_F052,BEL_2018_1,1,18,12,111,18,12,0.452423322768766,110.240181142223,110.692604464992
12_F054,BEL_2018_1,1,22,58,110,22,58,-0.064607338551582,109.987697559878,109.923090221326
12_F054,BEL_2018_1,1,18,96,110,18,96,0.0740288585511593,109.987697559878,110.061726418429
12_I002,BEL_2018_1,1,25,53,110,25,53,0.346954225549297,109.698874530358,110.045828755907
12_I002,BEL_2018_1,1,22,81,109,22,81,-0.646369087669115,109.698874530358,109.052505442689
12_I003,BEL_2018_1,1,25,10,110,25,10,-0.00631903793605204,110.028458384753,110.022139346817
12_I003,BEL_2018_1,1,17,111,110,17,111,0.0593258139576136,110.028458384753,110.08778419871
12_I005,BEL_2018_1,1,19,111,110,19,111,0.0571668807070154,110.036622533225,110.093789413932
12_I005,BEL_2018_1,1,25,50,110,25,50,0.00456976038648804,110.036622533225,110.041192293611
12_I010,BEL_2018_1,1,24,86,110,24,86,0.0513284703095991,110.026888837354,110.078217307663
12_I037,BEL_2018_1,1,24,104,110,24,104,0.175639477159748,109.997007509623,110.172646986783
12_I037,BEL_2018_1,1,21,7,110,21,7,-0.156262895051981,109.997007509623,109.840744614571
12_I049,BEL_2018_1,1,20,29,110,20,29,-0.0898795676159949,109.986507901496,109.89662833388
12_I049,BEL_2018_1,1,25,92,110,25,92,0.0980289944897237,109.986507901496,110.084536895986
12_I056,BEL_2018_1,1,21,22,109,21,22,-0.485019642469268,109.379399907241,108.894380264771
12_I056,BEL_2018_1,1,22,114,109,22,114,-0.156007129707746,109.379399907241,109.223392777533
12_I059,BEL_2018_1,1,21,2,109,21,2,-0.510140554949103,109.327755341722,108.817614786773
12_I059,BEL_2018_1,1,20,114,109,20,114,-0.186109378613295,109.327755341722,109.141645963108
12_I062,BEL_2018_1,1,24,13,110,24,13,-0.346191241469782,110.344784445641,109.998593204171
12_I062,BEL_2018_1,1,23,84,111,23,84,0.737443192667897,110.344784445641,111.082227638309
