Genotype,Envir,Management,Row,Position,Weight_sample,R,P,Weight_sample_spats_residuals,Weight_sample_spats_geno_pred_values,Weight_sample_spats_adj_pheno
NOVADI_0256,BEL_2021_1,1,22,97,1.3,22,97,-0.66946756877041,1.96058285621375,1.29111528744334
NOVADI_0268,BEL_2021_1,1,19,37,0.79,19,37,-0.991294867286618,1.84453068899736,0.85323582171074
NOVADI_0268,BEL_2021_1,1,17,104,1.81,17,104,0.199758954440123,1.84453068899736,2.04428964343748
NOVADI_0286,BEL_2021_1,1,18,112,3.09,18,112,0.299167127989431,2.98847653895389,3.28764366694332
NOVADI_0286,BEL_2021_1,1,18,31,3,18,31,0.11254528245074,2.98847653895389,3.10102182140463
NOVADI_0296,BEL_2021_1,1,18,94,2.19,18,94,0.269515976380198,2.08020695606798,2.34972293244818
NOVADI_0296,BEL_2021_1,1,21,42,1.27,21,42,-0.813158098448085,2.08020695606798,1.26704885761989
NOVADI_0329,BEL_2021_1,1,22,99,3.31,22,99,0.333434972205666,2.97071616315695,3.30415113536262
NOVADI_0329,BEL_2021_1,1,21,21,3.03,21,21,0.0595963595808153,2.97071616315695,3.03031252273777
NOVADI_0330,BEL_2021_1,1,23,101,4,23,101,0.525818194346801,3.41999563353523,3.94581382788203
NOVADI_0330,BEL_2021_1,1,19,58,3.69,19,58,0.339783381424853,3.41999563353523,3.75977901496008
NOVADI_0347,BEL_2021_1,1,23,37,2.27,23,37,-0.443441763606443,2.62269664838128,2.17925488477484
NOVADI_0347,BEL_2021_1,1,17,99,2.87,17,99,0.470412151476052,2.62269664838128,3.09310879985733
NOVADI_0356,BEL_2021_1,1,23,72,3.15,23,72,0.104598023283795,2.95782574746026,3.06242377074406
NOVADI_0356,BEL_2021_1,1,20,13,3.19,20,13,0.274874650045119,2.95782574746026,3.23270039750538
NOVADI_0371,BEL_2021_1,1,17,76,2.95,17,76,0.238620905646931,2.89149807573119,3.13011898137812
NOVADI_0371,BEL_2021_1,1,26,27,3.14,26,27,0.0710856508692475,2.89149807573119,2.96258372660044
NOVADI_0382,BEL_2021_1,1,18,97,2.47,18,97,-0.367727178036208,3.00351012576503,2.63578294772882
NOVADI_0382,BEL_2021_1,1,21,56,3.8,21,56,0.795252520639367,3.00351012576503,3.7987626464044
NOVADI_0622,BEL_2021_1,1,17,37,0.69,17,37,-0.95683391401035,1.79554442724103,0.838710513230677
NOVADI_0622,BEL_2021_1,1,25,101,2.05,25,101,0.113772277874921,1.79554442724103,1.90931670511595
NOVADI_0731,BEL_2021_1,1,21,95,2.55,21,95,-0.0753295730691441,2.66315379321381,2.58782422014466
NOVADI_0731,BEL_2021_1,1,26,54,3,26,54,0.144854415493185,2.66315379321381,2.80800820870699
NOVADI_0766,BEL_2021_1,1,25,80,3.31,25,80,0.0963996797824351,3.05079535050174,3.14719503028417
NOVADI_0766,BEL_2021_1,1,20,52,3.39,20,52,0.380862166854409,3.05079535050174,3.43165751735615
NOVADI_0830,BEL_2021_1,1,19,28,6.39,19,28,1.01161299901485,5.44109027712319,6.45270327613804
NOVADI_0830,BEL_2021_1,1,23,82,7.5,23,82,1.97985733286382,5.44109027712319,7.42094760998701
NOVADI_0980,BEL_2021_1,1,18,62,4,18,62,0.427020145823557,3.68701616055024,4.1140363063738
NOVADI_0980,BEL_2021_1,1,23,50,4.5,23,50,0.719444375887493,3.68701616055024,4.40646053643773
NOVADI_1015,BEL_2021_1,1,24,34,3.5,24,34,0.0810642526849743,3.29832330727199,3.37938755995697
NOVADI_1015,BEL_2021_1,1,20,88,3.88,20,88,0.656557469344311,3.29832330727199,3.9548807766163
TeBr_012,BEL_2021_1,1,26,51,3.03,26,51,0.125377311494686,2.7136231968874,2.83900050838209
TeBr_012,BEL_2021_1,1,24,96,2.81,24,96,-0.00276671737195677,2.7136231968874,2.71085647951545
TeBr_021,BEL_2021_1,1,26,30,0.58,26,30,-1.12604299192553,1.52650989687332,0.400466904947785
TeBr_022,BEL_2021_1,1,26,38,3.15,26,38,-0.0613199762514616,3.02671022550222,2.96539024925076
TeBr_022,BEL_2021_1,1,21,83,3.52,21,83,0.513248118261537,3.02671022550222,3.53995834376376
TeBr_027,BEL_2021_1,1,20,91,2.31,20,91,-0.106257146651398,2.49603527494262,2.38977812829122
TeBr_043,BEL_2021_1,1,18,28,4.54,18,28,0.737992687848355,3.90272709431733,4.64071978216569
TeBr_043,BEL_2021_1,1,19,106,4.4,19,106,0.635365282866167,3.90272709431733,4.5380923771835
TeBr_071,BEL_2021_1,1,20,100,2.62,20,100,0.0607713920225956,2.65483175937777,2.71560315140037
TeBr_084,BEL_2021_1,1,17,110,2.74,17,110,0.200345367572585,2.78752678749651,2.9878721550691
TeBr_180,BEL_2021_1,1,20,69,4.47,20,69,0.915362744953496,3.60613810167724,4.52150084663074
TeBr_180,BEL_2021_1,1,20,15,3.71,20,15,0.146030976655148,3.60613810167724,3.75216907833239
TeBr_248,BEL_2021_1,1,19,108,0.5,19,108,-1.00202346615724,1.64441708117647,0.642393615019237
TeBr_263,BEL_2021_1,1,20,58,5.5,20,58,1.51072734774459,4.03332617824991,5.54405352599449
101,BEL_2023_1,1,18,91,1.92,18,91,-0.0898096853585932,2.112582479955,2.02277279459641
101,BEL_2023_1,1,17,17,1.76,17,17,-0.340945703345267,2.112582479955,1.77163677660974
1015,BEL_2023_1,1,22,108,0.5,22,108,-1.4415491069172,1.8958484432362,0.454299336319008
1015,BEL_2023_1,1,18,40,2.8,18,40,0.812750096328549,1.8958484432362,2.70859853956475
1020,BEL_2023_1,1,26,35,1.2,26,35,-0.901901043022033,2.4301908546612,1.52828981163916
1020,BEL_2023_1,1,25,77,3.44,25,77,0.761364550344028,2.4301908546612,3.19155540500522
1091,BEL_2023_1,1,22,94,2.5,22,94,-0.263981280545707,2.54889831527136,2.28491703472565
1091,BEL_2023_1,1,24,15,2.7,24,15,0.231915316077745,2.54889831527136,2.7808136313491
1106.1,BEL_2023_1,1,17,35,3.42,17,35,0.350138428107798,2.96717334006762,3.31731176817542
1113,BEL_2023_1,1,22,96,2.78,22,96,-0.284131739676087,2.89729385569774,2.61316211602165
1113,BEL_2023_1,1,21,50,3.57,21,50,0.570416855265147,2.89729385569774,3.46771071096289
112,BEL_2023_1,1,18,57,2.98,18,57,0.00938338197981503,2.96661196909507,2.97599535107488
112,BEL_2023_1,1,23,63,3.5,23,63,0.340242085901199,2.96661196909507,3.30685405499627
1123,BEL_2023_1,1,20,9,2.28,20,9,0.090467786911915,2.36160120538941,2.45206899230133
1123,BEL_2023_1,1,17,67,2.08,17,67,-0.293678988053993,2.36160120538941,2.06792221733542
1125,BEL_2023_1,1,24,44,3.3,24,44,0.285467728249768,2.99033784231838,3.27580557056815
1125,BEL_2023_1,1,20,66,3.1,20,66,0.0858375732958683,2.99033784231838,3.07617541561425
114,BEL_2023_1,1,20,20,2.07,20,20,-0.168835033642955,2.32169795285409,2.15286291921114
114,BEL_2023_1,1,17,100,2.14,17,100,-0.0708382976597473,2.32169795285409,2.25085965519434
118,BEL_2023_1,1,18,42,2.87,18,42,-0.0594084576308096,2.89139420860563,2.83198575097482
118,BEL_2023_1,1,20,73,3.24,20,73,0.340302691862925,2.89139420860563,3.23169690046856
12_196,BEL_2023_1,1,17,47,3.16,17,47,0.190415201689444,2.80028844334208,2.99070364503153
12_196,BEL_2023_1,1,21,74,2.81,21,74,0.007229922248154,2.80028844334208,2.80751836559024
12_197,BEL_2023_1,1,18,14,2.28,18,14,-0.354952083581374,2.64647003314269,2.29151794956131
12_197,BEL_2023_1,1,19,72,2.97,19,72,0.412043579996347,2.64647003314269,3.05851361313903
12_204,BEL_2023_1,1,26,65,3.5,26,65,0.204812607045107,3.21283214601111,3.41764475305622
12_204,BEL_2023_1,1,26,42,3.3,26,42,0.369799837296993,3.21283214601111,3.58263198330811
12_205,BEL_2023_1,1,23,46,3.26,23,46,0.284062742910245,2.8397837647659,3.12384650767615
12_205,BEL_2023_1,1,21,84,2.8,21,84,-0.0503282413156154,2.8397837647659,2.78945552345029
12_B006,BEL_2023_1,1,21,69,2.36,21,69,-0.0537043366704508,2.3959481704002,2.34224383372975
12_B006,BEL_2023_1,1,26,53,2.23,26,53,-0.11812186627537,2.3959481704002,2.27782630412483
12_B020,BEL_2023_1,1,24,32,3.5,24,32,0.761506279873609,2.72891235089392,3.49041863076753
12_B020,BEL_2023_1,1,25,114,2.29,25,114,-0.629082014082803,2.72891235089392,2.09983033681112
12_B023,BEL_2023_1,1,18,116,2.86,18,116,0.0684427585017811,2.76100748807362,2.8294502465754
12_B023,BEL_2023_1,1,17,54,2.95,17,54,0.0933088677174374,2.76100748807362,2.85431635579106
12_B057,BEL_2023_1,1,20,56,2.5,20,56,-0.254202166108421,2.70464093193669,2.45043876582827
12_B057,BEL_2023_1,1,21,66,3.14,21,66,0.364448098531082,2.70464093193669,3.06908903046777
12_B061,BEL_2023_1,1,21,79,3.15,21,79,0.494594728311992,2.64661524946109,3.14120997777308
12_B061,BEL_2023_1,1,17,45,2.34,17,45,-0.437370538545814,2.64661524946109,2.20924471091527
12_B064,BEL_2023_1,1,25,88,2.63,25,88,0.152730322529686,2.29766207096285,2.45039239349253
12_B064,BEL_2023_1,1,24,33,1.81,24,33,-0.41436676205942,2.29766207096285,1.88329530890343
12_B074,BEL_2023_1,1,24,92,4.29,24,92,0.638348943124084,3.39819692301553,4.03654586613961
12_B074,BEL_2023_1,1,17,42,3.6,17,42,0.105643042906935,3.39819692301553,3.50383996592246
12_B081,BEL_2023_1,1,22,34,4.8,22,34,0.74553805383398,4.00314300796658,4.74868106180056
12_B081,BEL_2023_1,1,18,68,4.56,18,68,0.551231500143924,4.00314300796658,4.5543745081105
12_B093,BEL_2023_1,1,20,93,2.52,20,93,0.502353041016857,1.98797897538479,2.49033201640165
12_B093,BEL_2023_1,1,23,11,0.88,23,11,-1.04696654687763,1.98797897538479,0.941012428507159
12_B095,BEL_2023_1,1,19,99,2.35,19,99,-0.245856808100369,2.63132408538139,2.38546727728102
12_B095,BEL_2023_1,1,23,23,3,23,23,0.289108492379993,2.63132408538139,2.92043257776138
12_E003,BEL_2023_1,1,21,63,3,21,63,0.2619062829262,2.6788051556391,2.9407114385653
12_E003,BEL_2023_1,1,19,19,2.45,19,19,-0.175268136293167,2.6788051556391,2.50353701934593
12_E014,BEL_2023_1,1,22,13,2.2,22,13,-0.329464036435296,2.48928752796063,2.15982349152533
12_E014,BEL_2023_1,1,19,78,2.71,19,78,0.242927918588797,2.48928752796063,2.73221544654942
12_E015,BEL_2023_1,1,17,96,3.26,17,96,0.0832480125478794,3.28380326375537,3.36705127630325
12_E015,BEL_2023_1,1,22,36,3.88,22,36,0.556215238894358,3.28380326375537,3.84001850264973
12_E017,BEL_2023_1,1,22,101,2.86,22,101,0.197492690190461,2.48055372935475,2.67804641954521
12_E017,BEL_2023_1,1,24,45,2.18,24,45,-0.292009433207363,2.48055372935475,2.18854429614738
12_E024,BEL_2023_1,1,23,27,3.73,23,27,0.410449222014822,3.31334351604439,3.72379273805921
12_E024,BEL_2023_1,1,18,93,3.54,18,93,0.256006829650557,3.31334351604439,3.56935034569494
12_E025,BEL_2023_1,1,21,11,3.3,21,11,0.235553670205554,3.21360054203063,3.44915421223619
12_E025,BEL_2023_1,1,26,67,3.62,26,67,0.339760906266092,3.21360054203063,3.55336144829672
12_E034,BEL_2023_1,1,23,16,3.64,23,16,0.250891923946924,3.32165841396453,3.57255033791146
12_E034,BEL_2023_1,1,25,84,3.9,25,84,0.423161976790242,3.32165841396453,3.74482039075478
12_E035,BEL_2023_1,1,25,43,3.19,25,43,0.316585811143664,2.93045418674217,3.24703999788584
12_E039,BEL_2023_1,1,19,68,3.12,19,68,0.0196690898473344,3.11600862777918,3.13567771762651
12_E039,BEL_2023_1,1,20,25,3.6,20,25,0.466469571029184,3.11600862777918,3.58247819880836
12_E043,BEL_2023_1,1,19,88,2.66,19,88,0.108602093887293,2.6526804297072,2.76128252359449
12_E043,BEL_2023_1,1,21,48,2.53,21,48,-0.0458357646329657,2.6526804297072,2.60684466507423
12_F002,BEL_2023_1,1,22,6,5.03,22,6,0.913507118564966,4.04968044986548,4.96318756843044
12_F002,BEL_2023_1,1,24,109,4.63,24,109,0.425786644745458,4.04968044986548,4.47546709461093
12_F007,BEL_2023_1,1,20,97,2.04,20,97,-0.214397509419109,2.29257547720246,2.07817796778335
12_F007,BEL_2023_1,1,20,51,2.2,20,51,-0.0518868731223177,2.29257547720246,2.24068860408014
12_F014,BEL_2023_1,1,21,96,1.23,21,96,-0.480268355810969,1.68509607386585,1.20482771805488
12_F014,BEL_2023_1,1,21,6,1.31,21,6,-0.341108448200403,1.68509607386585,1.34398762566545
12_F019,BEL_2023_1,1,19,4,2.56,19,4,0.0220913518290411,2.79893664115857,2.82102799298761
12_F019,BEL_2023_1,1,26,90,3.12,26,90,0.174318544801631,2.79893664115857,2.9732551859602
12_F023,BEL_2023_1,1,19,31,1.95,19,31,-0.351101347200798,2.2939996054061,1.9428982582053
12_F023,BEL_2023_1,1,25,99,2.6,25,99,0.0861182808335586,2.2939996054061,2.38011788623966
12_F040,BEL_2023_1,1,18,109,0.92,18,109,-0.760792666759509,1.75139785376039,0.990605187000875
12_F045,BEL_2023_1,1,23,110,2.07,23,110,-0.38176030815404,2.1662014831113,1.78444117495726
12_F046,BEL_2023_1,1,24,6,1.41,24,6,-0.0922061360916711,1.49388236394297,1.4016762278513
12_F046,BEL_2023_1,1,17,88,0.48,17,88,-0.9038947502118,1.49388236394297,0.58998761373117
12_F052,BEL_2023_1,1,25,74,1.59,25,74,-0.563011700861438,2.04203394866846,1.47902224780703
12_F052,BEL_2023_1,1,18,12,2.1,18,12,0.0677916490794579,2.04203394866846,2.10982559774792
12_F054,BEL_2023_1,1,18,96,1.74,18,96,-0.355965690798692,2.19443047373384,1.83846478293515
12_I002,BEL_2023_1,1,25,53,4.78,25,53,0.988144509553706,3.74316426030857,4.73130876986228
12_I002,BEL_2023_1,1,22,81,4,22,81,0.071065990116248,3.74316426030857,3.81423025042482
12_I003,BEL_2023_1,1,25,10,3.63,25,10,0.863349156544859,2.93059365534433,3.79394281188919
12_I003,BEL_2023_1,1,17,111,2.32,17,111,-0.546635904102488,2.93059365534433,2.38395775124185
12_I005,BEL_2023_1,1,25,50,5.34,25,50,1.47212100258294,3.83951635931886,5.31163736190181
12_I005,BEL_2023_1,1,19,111,3.43,19,111,-0.324867485059924,3.83951635931886,3.51464887425894
12_I010,BEL_2023_1,1,22,35,3.76,22,35,0.554860323117097,3.19121591355631,3.7460762366734
12_I037,BEL_2023_1,1,24,104,4.87,24,104,1.09327376964726,3.48863175461916,4.58190552426642
12_I037,BEL_2023_1,1,21,7,3.09,21,7,-0.266645747917963,3.48863175461916,3.2219860067012
12_I049,BEL_2023_1,1,25,92,4.36,25,92,0.3481733576252,3.78248850217006,4.13066185979526
12_I049,BEL_2023_1,1,20,29,4.52,20,29,0.746970193465875,3.78248850217006,4.52945869563593
12_I056,BEL_2023_1,1,21,22,3.74,21,22,0.42674445107627,3.31783632790623,3.7445807789825
12_I056,BEL_2023_1,1,22,114,3.8,22,114,0.243816967457362,3.31783632790623,3.56165329536359
12_I062,BEL_2023_1,1,24,13,3.14,24,13,0.0327962447934373,3.14805291176171,3.18084915655515
12_I062,BEL_2023_1,1,23,84,3.83,23,84,0.482623308723126,3.14805291176171,3.63067622048484
12_I064,BEL_2023_1,1,18,73,1.77,18,73,-0.871909204972846,2.67177009688738,1.79986089191453
12_I064,BEL_2023_1,1,19,38,3.73,19,38,0.952118972674475,2.67177009688738,3.62388906956185
12_J001,BEL_2023_1,1,19,50,2.48,19,50,-0.138791291939808,2.53812316554845,2.39933187360864
12_J001,BEL_2023_1,1,18,115,2.64,18,115,0.0968793904432914,2.53812316554845,2.63500255599174
12_J004,BEL_2023_1,1,26,85,2.55,26,85,-0.327187346473218,2.65473560244341,2.3275482559702
12_J004,BEL_2023_1,1,23,32,3.15,23,32,0.391831617274887,2.65473560244341,3.0465672197183
12_J011,BEL_2023_1,1,25,9,1.86,25,9,-0.0325550007797786,2.08662192051877,2.05406691973899
12_J011,BEL_2023_1,1,22,105,1.81,22,105,-0.421922195973906,2.08662192051877,1.66469972454486
12_J013,BEL_2023_1,1,21,85,2,21,85,-0.085030776617768,1.96099408501824,1.87596330840048
12_J013,BEL_2023_1,1,26,23,1.26,26,23,-0.484240533366733,1.96099408501824,1.47675355165151
12_J015,BEL_2023_1,1,19,82,1.2,19,82,-0.51142707504802,1.80336200806063,1.29193493301261
12_J015,BEL_2023_1,1,17,28,1.79,17,28,-0.201882651414697,1.80336200806063,1.60147935664593
12_J019,BEL_2023_1,1,22,25,2.27,22,25,-0.0382922621489579,2.21918075335556,2.1808884912066
12_J019,BEL_2023_1,1,20,108,1.78,20,108,-0.295057529951243,2.21918075335556,1.92412322340432
12_J027,BEL_2023_1,1,22,5,1.5,22,5,-0.368243377701306,2.00407123897905,1.63582786127774
12_J027,BEL_2023_1,1,18,87,1.83,18,87,-0.161665607287814,2.00407123897905,1.84240563169123
12_J028,BEL_2023_1,1,21,29,2.04,21,29,-0.242200184733098,2.29597777961259,2.05377759487949
12_J028,BEL_2023_1,1,26,77,2.47,26,77,-0.0209752985221376,2.29597777961259,2.27500248109045
12_J029,BEL_2023_1,1,26,112,0.89,26,112,-1.19469489183543,2.08350131280579,0.888806420970357
12_J029,BEL_2023_1,1,22,31,2.88,22,31,0.737366198088863,2.08350131280579,2.82086751089465
12_J031,BEL_2023_1,1,25,106,3.07,25,106,0.0317942372657267,2.94290338421395,2.97469762147968
12_J031,BEL_2023_1,1,25,32,3.15,25,32,0.296167194404353,2.94290338421395,3.2390705786183
12_K001,BEL_2023_1,1,23,114,2.59,23,114,0.558584611125423,1.76393705268456,2.32252166380998
12_K001,BEL_2023_1,1,19,18,0.31,19,18,-1.30791941732887,1.76393705268456,0.456017635355685
12_K010,BEL_2023_1,1,24,117,3.81,24,117,0.443850397406768,3.06972939919105,3.51357979659782
12_K016,BEL_2023_1,1,18,66,2.12,18,66,-0.0305434604372818,2.14213260034566,2.11158913990838
12_K016,BEL_2023_1,1,18,4,1.55,18,4,-0.373210110933705,2.14213260034566,1.76892248941196
12_K018,BEL_2023_1,1,19,8,1.88,19,8,-0.178250247268214,2.24612095254451,2.0678707052763
12_K018,BEL_2023_1,1,19,109,2.03,19,109,-0.130482577868933,2.24612095254451,2.11563837467558
12_K023,BEL_2023_1,1,25,35,3.3,25,35,0.440373636828437,3.06592451849015,3.50629815531858
12_K024,BEL_2023_1,1,26,69,4.36,26,69,1.02910636441906,3.29930892876641,4.32841529318548
12_K024,BEL_2023_1,1,24,42,2.85,24,42,-0.37547460439826,3.29930892876641,2.92383432436815
12_K044,BEL_2023_1,1,19,71,2.42,19,71,-0.107447700712907,2.46640240939087,2.35895470867797
12_K045,BEL_2023_1,1,20,26,3.1,20,26,0.416819748272543,2.75457529945159,3.17139504772414
12_K045,BEL_2023_1,1,24,62,2.67,24,62,-0.260945620348641,2.75457529945159,2.49362967910295
12_K049,BEL_2023_1,1,17,66,3.98,17,66,0.656905270514127,3.30289137760625,3.95979664812038
12_L001,BEL_2023_1,1,23,7,2.12,23,7,-0.339517672207787,2.49047918184533,2.15096150963755
12_L001,BEL_2023_1,1,19,70,2.78,19,70,0.254070444020398,2.49047918184533,2.74454962586573
12_L005,BEL_2023_1,1,17,58,2,17,58,-0.0867311237177142,2.06141360514345,1.97468248142574
12_L005,BEL_2023_1,1,23,95,1.94,23,95,-0.390780508024218,2.06141360514345,1.67063309711923
12_L012,BEL_2023_1,1,26,80,2.74,26,80,0.130534147191308,2.4316231117323,2.56215725892361
12_L012,BEL_2023_1,1,17,31,2.31,17,31,-0.269761895833875,2.4316231117323,2.16186121589843
12_L013,BEL_2023_1,1,26,24,2.35,26,24,0.1446874758883,2.50706238367403,2.65174985956233
12_L013,BEL_2023_1,1,23,106,2.45,23,106,-0.214981581832765,2.50706238367403,2.29208080184127
12_L018,BEL_2023_1,1,26,115,3.31,26,115,0.347677128422623,2.8730050139649,3.22068214238752
12_L018,BEL_2023_1,1,19,11,2.61,19,11,-0.0835862664957157,2.8730050139649,2.78941874746918
12_L021,BEL_2023_1,1,24,54,2.06,24,54,-0.287578552524251,2.26927166476442,1.98169311224017
12_N021,BEL_2023_1,1,26,56,1,26,56,-0.565069862725616,1.60226646845908,1.03719660573347
12_N021,BEL_2023_1,1,24,64,1.4,24,64,-0.331993599931468,1.60226646845908,1.27027286852762
12_N034,BEL_2023_1,1,26,97,3.68,26,97,0.597901523229868,2.96684726335365,3.56474878658352
12_N034,BEL_2023_1,1,23,57,2.84,23,57,-0.248061052076244,2.96684726335365,2.71878621127741
12_N039,BEL_2023_1,1,17,18,2.43,17,18,-0.00486960003342674,2.46511406302952,2.46024446299609
12_N039,BEL_2023_1,1,21,111,2.38,21,111,-0.103755344381052,2.46511406302952,2.36135871864847
12_N041,BEL_2023_1,1,18,1,2.13,18,1,0.341633139771896,1.93859882610706,2.28023196587895
12_N041,BEL_2023_1,1,23,92,1.28,23,92,-0.931368416814669,1.93859882610706,1.00723040929239
12_N046,BEL_2023_1,1,23,8,2.57,23,8,0.187094380832374,2.43305043307164,2.62014481390401
12_N046,BEL_2023_1,1,23,88,2.33,23,88,-0.325017895530364,2.43305043307164,2.10803253754127
12_N052,BEL_2023_1,1,21,72,2.06,21,72,-0.500394487169364,2.54169197382517,2.04129748665581
12_N052,BEL_2023_1,1,23,38,3.14,23,38,0.461743631919375,2.54169197382517,3.00343560574455
12_N054,BEL_2023_1,1,22,60,2.22,22,60,-0.130094690925779,2.2317691329399,2.10167444201412
12_N054,BEL_2023_1,1,24,21,1.93,24,21,-0.191752301133026,2.2317691329399,2.04001683180687
12_N057,BEL_2023_1,1,26,71,4.33,26,71,0.931879006521349,3.20304311481242,4.13492212133377
12_N057,BEL_2023_1,1,26,4,2.53,26,4,-0.36621142023054,3.20304311481242,2.83683169458188
12_N062,BEL_2023_1,1,18,108,1.54,18,108,-0.412057334642715,2.13304516740179,1.72098783275907
12_N063,BEL_2023_1,1,19,83,2.68,19,83,0.10300216056476,2.65576062559119,2.75876278615595
12_N063,BEL_2023_1,1,24,57,2.68,24,57,-0.037421261166243,2.65576062559119,2.61833936442494
12_O010,BEL_2023_1,1,19,107,1.41,19,107,-0.302659229116419,1.78329507118113,1.48063584206471
12_O010,BEL_2023_1,1,20,19,1.3,20,19,-0.428986929038875,1.78329507118113,1.35430814214225
12_O011,BEL_2023_1,1,22,82,3.6,22,82,-0.00396716815631493,3.42507048725146,3.42110331909515
12_O011,BEL_2023_1,1,21,34,4.18,21,34,0.772515232571752,3.42507048725146,4.19758571982321
12_O014,BEL_2023_1,1,17,109,2.09,17,109,-0.0329783266937036,2.19160217294846,2.15862384625476
12_O014,BEL_2023_1,1,23,42,1.88,23,42,-0.325571761737208,2.19160217294846,1.86603041121125
12_O017,BEL_2023_1,1,21,82,1.47,21,82,-0.477965075159442,1.91108852743647,1.43312345227703
12_O017,BEL_2023_1,1,22,4,1.67,22,4,-0.136908104864962,1.91108852743647,1.77418042257151
12_O026,BEL_2023_1,1,18,35,1.64,18,35,-0.325693816906164,1.92694981747412,1.60125600056795
12_O026,BEL_2023_1,1,26,60,1.59,26,60,-0.274685897420024,1.92694981747412,1.65226392005409
12_O056,BEL_2023_1,1,25,95,3.35,25,95,0.370400703352209,2.75609316152331,3.12649386487552
12_O056,BEL_2023_1,1,17,49,2.59,17,49,-0.213139608679769,2.75609316152331,2.54295355284354
12_O061,BEL_2023_1,1,19,64,2.5,19,64,-0.0314800266766144,2.57415733125489,2.54267730457828
12_O061,BEL_2023_1,1,20,43,2.66,20,43,0.022494825555075,2.57415733125489,2.59665215680997
12_O063,BEL_2023_1,1,18,103,3.12,18,103,0.116275352218878,3.07395665852981,3.19023201074869
12_O063,BEL_2023_1,1,24,14,3.36,24,14,0.331437759890058,3.07395665852981,3.40539441841987
12_O072,BEL_2023_1,1,21,45,3.18,21,45,0.382576370780103,2.78383402513748,3.16641039591759
12_O072,BEL_2023_1,1,23,66,2.8,23,66,-0.199966691328203,2.78383402513748,2.58386733380928
12_O074,BEL_2023_1,1,24,94,2.96,24,94,0.11345665006136,2.60618325960959,2.71963990967095
12_O074,BEL_2023_1,1,18,45,2.59,18,45,-0.0931777312430442,2.60618325960959,2.51300552836654
12_P001,BEL_2023_1,1,20,35,2.69,20,35,0.0745593441957015,2.66558641329306,2.74014575748876
12_P002,BEL_2023_1,1,19,16,3.45,19,16,0.176358741799167,3.29267852970261,3.46903727150178
12_P002,BEL_2023_1,1,17,94,3.7,17,94,0.471214402486806,3.29267852970261,3.76389293218942
12_P003,BEL_2023_1,1,24,31,3.52,24,31,0.476892931923775,3.10589033091475,3.58278326283853
12_P018,BEL_2023_1,1,25,23,2,25,23,-0.595967705548989,2.69662158095764,2.10065387540865
12_P018,BEL_2023_1,1,26,118,3.48,26,118,0.698885848866174,2.69662158095764,3.39550742982382
12_P025,BEL_2023_1,1,18,7,5.14,18,7,1.19363033140396,4.07455998536953,5.26819031677348
12_P025,BEL_2023_1,1,18,95,4.2,18,95,0.168397439894448,4.07455998536953,4.24295742526398
12_P027,BEL_2023_1,1,17,73,4.16,17,73,0.440147721460518,3.74929581224354,4.18944353370406
12_P027,BEL_2023_1,1,20,23,4.4,20,23,0.624665565715083,3.74929581224354,4.37396137795863
12_P029,BEL_2023_1,1,20,74,2.5,20,74,0.0348013367920421,2.52254746336899,2.55734880016103
12_P029,BEL_2023_1,1,18,3,2.27,18,3,-0.0909457442655559,2.52254746336899,2.43160171910343
12_P034,BEL_2023_1,1,21,68,3.21,21,68,0.367507273759148,2.76374373733102,3.13125101109016
12_P034,BEL_2023_1,1,26,28,2.33,26,28,-0.203255363221334,2.76374373733102,2.56048837410968
12_P055,BEL_2023_1,1,20,33,2.43,20,33,0.213761643911569,2.23053835785274,2.44430000176431
12_P055,BEL_2023_1,1,25,69,1.79,25,69,-0.536733273150926,2.23053835785274,1.69380508470182
12_P056,BEL_2023_1,1,18,18,1.64,18,18,-0.902249222174059,2.62385434788685,1.72160512571279
12_P056,BEL_2023_1,1,22,85,3.83,22,85,0.938675334013174,2.62385434788685,3.56252968190002
1218,BEL_2023_1,1,21,65,1.89,21,65,-0.380973849253991,2.16706216426073,1.78608831500674
1236,BEL_2023_1,1,18,13,2.59,18,13,-0.0476457157256123,2.65423568377427,2.60658996804866
1236,BEL_2023_1,1,25,116,2.94,25,116,0.111833179163833,2.65423568377427,2.7660688629381
13_10,BEL_2023_1,1,26,103,2,26,103,0.126262040554794,1.77216222231558,1.89842426287037
13_10,BEL_2023_1,1,23,17,0.86,23,17,-0.868080988109519,1.77216222231558,0.904081234206061
13_109,BEL_2023_1,1,17,4,2.12,17,4,-0.24073463427506,2.55060346703846,2.3098688327634
13_109,BEL_2023_1,1,19,102,2.7,19,102,0.210226775017206,2.55060346703846,2.76083024205567
13_139,BEL_2023_1,1,20,64,2.69,20,64,0.202379750505633,2.4937817088434,2.69616145934904
13_139,BEL_2023_1,1,21,44,2.26,21,44,-0.28480925052272,2.4937817088434,2.20897245832068
13_32,BEL_2023_1,1,25,98,2.28,25,98,-0.485572907425963,2.61662271092135,2.13104980349539
13_32,BEL_2023_1,1,25,15,2.97,25,15,0.515391014364302,2.61662271092135,3.13201372528565
13_35,BEL_2023_1,1,22,43,2.79,22,43,0.0979883759901199,2.5502884373028,2.64827681329292
13_35,BEL_2023_1,1,26,70,2.58,26,70,-0.128784097878121,2.5502884373028,2.42150433942468
13_38,BEL_2023_1,1,26,43,4.5,26,43,1.01550090066494,3.65637784219301,4.67187874285796
