Genotype,Envir,Management,Row,Position,Sample_size,R,P,Sample_size_spats_residuals,Sample_size_spats_geno_pred_values,Sample_size_spats_adj_pheno
12_E043,BEL_2019_1,1,21,48,8,21,48,-6.83177933331254,14.650597794322,7.81881846100949
12_F002,BEL_2019_1,1,24,109,14,24,109,-2.71787293582022,16.5353012125584,13.8174282767381
12_F002,BEL_2019_1,1,22,6,20,22,6,3.4359439953315,16.5353012125584,19.9712452078899
12_F007,BEL_2019_1,1,20,97,20,20,97,1.93797975169029,17.5337015802988,19.4716813319891
12_F014,BEL_2019_1,1,21,96,20,21,96,0.91020094085864,18.1096928532407,19.0198937940993
12_F014,BEL_2019_1,1,21,6,20,21,6,1.73156136458947,18.1096928532407,19.8412542178302
12_F019,BEL_2019_1,1,26,90,20,26,90,5.99872966201736,13.0319537680954,19.0306834301127
12_F019,BEL_2019_1,1,19,4,3,19,4,-9.56127000582101,13.0319537680954,3.47068376227435
12_F023,BEL_2019_1,1,19,31,20,19,31,1.7982568089975,18.258022049461,20.0562788584585
12_F023,BEL_2019_1,1,25,99,20,25,99,1.02474348635909,18.258022049461,19.2827655358201
12_F040,BEL_2019_1,1,18,109,4,18,109,-5.76966763837355,11.2255917701229,5.45592413174932
12_F045,BEL_2019_1,1,23,110,20,23,110,2.10041092768774,17.6666388623167,19.7670497900045
12_F046,BEL_2019_1,1,17,88,20,17,88,4.96801054840153,16.5424591893379,21.5104697377394
12_F046,BEL_2019_1,1,24,6,12,24,6,-4.24119342030509,16.5424591893379,12.3012657690328
12_F054,BEL_2019_1,1,18,96,20,18,96,2.6494553179442,18.1159889855286,20.7654443034728
12_I002,BEL_2019_1,1,25,53,20,25,53,0.970541752333911,17.5334931453842,18.5040348977181
12_I002,BEL_2019_1,1,22,81,20,22,81,0.967183320399645,17.5334931453842,18.5006764657838
12_I003,BEL_2019_1,1,25,10,20,25,10,4.86303431214427,15.140691692435,20.0037260045793
12_I003,BEL_2019_1,1,17,111,7,17,111,-5.84898533712445,15.140691692435,9.29170635531053
12_I005,BEL_2019_1,1,19,111,20,19,111,4.47739566634684,16.4596283443116,20.9370240106584
12_I005,BEL_2019_1,1,25,50,14,25,50,-3.85178650160156,16.4596283443116,12.60784184271
12_I010,BEL_2019_1,1,22,35,20,22,35,2.08816852065499,17.6566194044984,19.7447879251534
12_I037,BEL_2019_1,1,21,7,20,21,7,1.59127397022361,18.2617844889703,19.8530584591939
12_I037,BEL_2019_1,1,24,104,20,24,104,1.23632351160187,18.2617844889703,19.4981080005722
12_I049,BEL_2019_1,1,20,29,20,20,29,1.89953195696683,18.2560930426692,20.1556249996361
12_I049,BEL_2019_1,1,25,92,20,25,92,0.921111355931956,18.2560930426692,19.1772043986012
12_I056,BEL_2019_1,1,22,114,20,22,114,1.49324264208636,18.5180453316781,20.0112879737645
12_I056,BEL_2019_1,1,21,22,20,21,22,1.64747053919729,18.5180453316781,20.1655158708754
12_I059,BEL_2019_1,1,21,2,20,21,2,2.06552972064308,17.6380913077629,19.703621028406
12_I062,BEL_2019_1,1,23,84,20,23,84,0.590952588759816,18.081743214543,18.6726958033028
12_I062,BEL_2019_1,1,24,13,20,24,13,2.01665908103926,18.081743214543,20.0984022955823
12_I064,BEL_2019_1,1,19,38,20,19,38,7.18480672464308,12.6525232053499,19.837329929993
12_I064,BEL_2019_1,1,18,73,1,18,73,-11.2109593191305,12.6525232053499,1.44156388621938
12_J001,BEL_2019_1,1,19,50,20,19,50,2.21481465276219,17.760269411814,19.9750840645762
12_J004,BEL_2019_1,1,26,85,20,26,85,0.983230757514203,18.0420066724132,19.0252374299274
12_J004,BEL_2019_1,1,23,32,20,23,32,1.57582829280723,18.0420066724132,19.6178349652204
12_J013,BEL_2019_1,1,21,85,20,21,85,4.61459389472658,14.1535814281206,18.7681753228472
12_J013,BEL_2019_1,1,26,23,8,26,23,-6.80665864971427,14.1535814281206,7.34692277840632
12_J015,BEL_2019_1,1,19,82,9,19,82,-2.6751421025629,11.6286951480164,8.95355304545349
12_J015,BEL_2019_1,1,17,28,9,17,28,-2.60198834288875,11.6286951480164,9.02670680512764
12_J019,BEL_2019_1,1,20,108,20,20,108,1.69272244789169,18.5348996103353,20.227622058227
12_J019,BEL_2019_1,1,22,25,20,22,25,1.46858435665033,18.5348996103353,20.0034839669856
12_J028,BEL_2019_1,1,21,29,20,21,29,1.90249160094717,18.1995191620826,20.1020107630298
12_J028,BEL_2019_1,1,26,77,20,26,77,0.849026167823325,18.1995191620826,19.0485453299059
12_J029,BEL_2019_1,1,22,31,20,22,31,2.17357052804733,17.7265143041191,19.9000848321664
12_J031,BEL_2019_1,1,25,106,20,25,106,1.53793913617993,17.9970723190112,19.5350114551911
12_J031,BEL_2019_1,1,25,32,20,25,32,0.96621628022486,17.9970723190112,18.963288599236
12_K001,BEL_2019_1,1,19,18,6,19,18,-7.85733053104327,14.2141432000733,6.35681266903007
12_K001,BEL_2019_1,1,23,114,20,23,114,5.73926397798552,14.2141432000733,19.9534071780589
