trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,15
Fruit_weight,5.6,3.1
Fruit_number,33,18
Fruit_weight_single,170,34
Color_over,2.5,1.5
Russet_freq_all,65,34
Trunk_diameter,25,6
Trunk_increment,5,3.1
Flowering_intensity,53,41
Flowering_begin,110,3.8
Flowering_full,100,4.7
Flowering_end,110,3.6
Scab,3.5,1.9
Powdery_mildew,3.1,1.9
Scab_fruits,1.2,0.29
Weight_sample,3.2,0.72
Sample_size,19,2.2
