trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,3.9
Fruit_weight,5.1,1.2
Fruit_number,30,7.2
Fruit_weight_single,170,6.1
Color_over,1.9,0.72
Russet_freq_all,94,2.7
Trunk_diameter,30,6.1
Trunk_increment,5.7,4.1
Flowering_intensity,27,18
Flowering_begin,120,2.4
Flowering_full,98,2.9
Flowering_end,110,3.2
Scab,1.1,0.69
Powdery_mildew,1,0.11
Scab_fruits,0.81,0.33
Weight_sample,3.3,0.14
Sample_size,19,0.84
