trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,26
Fruit_weight,8.6,4.6
Fruit_number,58,34
Fruit_weight_single,160,55
Color_over,2.2,1.7
Russet_freq_all,71,34
Trunk_diameter,28,6.2
Trunk_increment,5,2.8
Flowering_intensity,64,31
Flowering_begin,99,2.4
Flowering_full,100,3.8
Flowering_end,110,4.5
Scab,2.5,1.7
Powdery_mildew,2.4,1.1
Scab_fruits,1.1,0.35
Weight_sample,3.1,1.1
Sample_size,20,0
