trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,27
Fruit_weight,3.7,1.8
Fruit_number,23,12
Fruit_weight_single,170,35
Color_over,2,1.7
Russet_freq_all,65,20
Trunk_diameter,50,14
Trunk_increment,6,6.3
Flowering_intensity,28,22
Flowering_begin,120,2.6
Flowering_full,97,1.8
Flowering_end,100,2.5
Scab,1,0
Powdery_mildew,3.3,2.1
Scab_fruits,0.73,0.43
Weight_sample,2.7,0.82
Sample_size,16,4.3
