trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,20
Fruit_weight,5.3,2.1
Fruit_number,32,12
Fruit_weight_single,170,43
Color_over,2.8,1.4
Russet_freq_all,52,36
Trunk_diameter,21,4
Trunk_increment,3.2,2.1
Flowering_intensity,76,28
Flowering_begin,110,2
Flowering_full,99,4.6
Flowering_end,110,4.5
Scab,1.8,1.1
Powdery_mildew,3.2,1.4
Scab_fruits,0.89,0.54
Weight_sample,3.3,0.83
Sample_size,19,1.2
