trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,26
Fruit_weight,11,6.3
Fruit_number,69,45
Fruit_weight_single,170,58
Color_over,2.2,1.8
Russet_freq_all,47,38
Trunk_diameter,32,7.3
Trunk_increment,4.1,2.9
Flowering_intensity,67,28
Flowering_begin,96,4.1
Flowering_full,100,3.4
Flowering_end,110,4.2
Scab,1.9,1.4
Powdery_mildew,2.8,1.2
Scab_fruits,1.1,0.35
Weight_sample,3.3,1.2
Sample_size,20,0
