trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,280,22
Fruit_weight,7.9,3.6
Fruit_number,60,31
Fruit_weight_single,140,39
Color_over,2.2,1.3
Russet_freq_all,92,13
Trunk_diameter,31,7.2
Trunk_increment,5.4,3
Flowering_intensity,75,25
Flowering_begin,120,2.4
Flowering_full,94,2.1
Flowering_end,100,2.6
Scab,0.92,0.085
Powdery_mildew,1.5,0.7
Scab_fruits,0.32,0.37
Weight_sample,2.8,0.75
Sample_size,20,0.56
