trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,25
Fruit_weight,4.4,1.8
Fruit_number,26,11
Fruit_weight_single,170,36
Color_over,1.9,1.6
Russet_freq_all,67,19
Trunk_diameter,50,13
Trunk_increment,5.2,5.9
Flowering_intensity,31,24
Flowering_begin,120,2.9
Flowering_full,97,1.9
Flowering_end,100,2.6
Scab,1,0
Powdery_mildew,3.1,1.9
Scab_fruits,0.67,0.44
Weight_sample,3.1,0.67
Sample_size,18,2.7
