trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,3.5
Fruit_weight,3.1,0.75
Fruit_number,15,6.3
Fruit_weight_single,210,6.8
Color_over,4,0.28
Russet_freq_all,32,6.1
Trunk_diameter,26,2
Trunk_increment,2.6,0.59
Flowering_intensity,11,7
Flowering_begin,100,2
Flowering_full,110,1.4
Flowering_end,110,0.83
Scab,5,0.51
Powdery_mildew,6.5,0.53
Scab_fruits,1.4,0.13
Weight_sample,2.9,0.13
Sample_size,14,0.71
