trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,30
Fruit_weight,9.6,8.2
Fruit_number,71,56
Fruit_weight_single,140,53
Color_over,2.7,0.57
Russet_freq_all,64,18
Trunk_diameter,53,15
Trunk_increment,6.7,5.2
Flowering_intensity,52,22
Flowering_begin,100,6.3
Flowering_full,95,1.8
Flowering_end,100,1.5
Scab,-7.3e-17,6.1e-16
Powdery_mildew,3.1,1.4
Scab_fruits,0.39,0.29
Weight_sample,2.7,1.1
Sample_size,20,1.8
