trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,14
Fruit_weight,2.5,1
Fruit_number,13,6.2
Fruit_weight_single,190,29
Color_over,3.2,1.3
Russet_freq_all,41,38
Trunk_diameter,16,3.4
Trunk_increment,3.4,1.9
Flowering_intensity,33,27
Flowering_begin,110,2.1
Flowering_full,110,5.3
Flowering_end,110,3.5
Scab,4.5,2.2
Powdery_mildew,4.6,2
Scab_fruits,1.4,0.27
Weight_sample,2.2,0.8
Sample_size,12,4.5
