trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,15
Fruit_weight,3.3,1.3
Fruit_number,18,8.3
Fruit_weight_single,180,26
Color_over,3.1,1.4
Russet_freq_all,61,36
Trunk_diameter,20,4.8
Trunk_increment,3.5,2.7
Flowering_intensity,22,19
Flowering_begin,110,4.4
Flowering_full,110,6.6
Flowering_end,110,5
Scab,4.1,2.5
Powdery_mildew,4.1,2.3
Scab_fruits,1.2,0.43
Weight_sample,2.6,0.8
Sample_size,15,4.7
