trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,240,28
Fruit_weight,14,13
Fruit_number,100,100
Fruit_weight_single,150,61
Color_over,1.9,0.8
Russet_freq_all,55,22
Trunk_diameter,48,13
Trunk_increment,4,4.2
Flowering_intensity,21,19
Flowering_begin,84,5.7
Flowering_full,96,0
Flowering_end,100,1.6
Scab,0.48,0.26
Powdery_mildew,3.3,1.2
Scab_fruits,0.54,0.21
Weight_sample,2.6,0.95
Sample_size,19,4
