trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,240,27
Fruit_weight,13,6.6
Fruit_number,91,40
Fruit_weight_single,150,11
Color_over,2.4,0.48
Russet_freq_all,70,12
Trunk_diameter,59,13
Trunk_increment,3.7,3.3
Flowering_intensity,70,33
Flowering_begin,89,2.6
Flowering_full,92,1.5
Flowering_end,99,3.3
Scab,0.37,0.14
Powdery_mildew,2.8,0.72
Scab_fruits,0.12,0.095
Weight_sample,2.9,0.23
Sample_size,20,0.27
