trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,240,10
Fruit_weight,13,5.9
Fruit_number,91,39
Fruit_weight_single,150,6.4
Color_over,2.3,0.45
Russet_freq_all,70,14
Trunk_diameter,60,12
Trunk_increment,4,2.5
Flowering_intensity,61,39
Flowering_begin,90,2.6
Flowering_full,93,1.5
Flowering_end,99,3.3
Scab,0.35,0.14
Powdery_mildew,2.8,0.72
Scab_fruits,0.14,0.1
Weight_sample,2.9,0.13
Sample_size,20,0.28
