trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,8
Fruit_weight,2.4,0.53
Fruit_number,12,2.9
Fruit_weight_single,200,14
Color_over,2.7,1.5
Russet_freq_all,51,43
Trunk_diameter,20,3.5
Trunk_increment,3.9,2.1
Flowering_intensity,16,11
Flowering_begin,110,1.5
Flowering_full,110,2.7
Flowering_end,110,2.5
Scab,6.3,1.3
Powdery_mildew,4.5,2.6
Scab_fruits,1.5,0.041
Weight_sample,2.3,0.51
Sample_size,12,2.6
