trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,28
Fruit_weight,4.1,3.6
Fruit_number,27,25
Fruit_weight_single,170,76
Color_over,2.8,1.1
Russet_freq_all,58,21
Trunk_diameter,28,8.4
Trunk_increment,2.4,2.1
Flowering_intensity,42,32
Flowering_begin,110,8.2
Flowering_full,97,2.3
Flowering_end,100,2.4
Scab,1,0
Powdery_mildew,5,3.1
Scab_fruits,0.66,0.56
Weight_sample,2.4,1.3
Sample_size,15,6.9
