trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,26
Fruit_weight,3.5,1.8
Fruit_number,22,11
Fruit_weight_single,170,49
Color_over,1.9,1.7
Russet_freq_all,93,5
Trunk_diameter,42,6.8
Trunk_increment,5.8,6.5
Flowering_intensity,28,28
Flowering_begin,120,2.2
Flowering_full,96,2.1
Flowering_end,100,3.1
Scab,1,0
Powdery_mildew,1,0.31
Scab_fruits,0.59,0.44
Weight_sample,2.6,0.9
Sample_size,16,4.6
