trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,30
Fruit_weight,8.8,5.3
Fruit_number,57,39
Fruit_weight_single,160,58
Color_over,2.4,1.7
Russet_freq_all,84,30
Trunk_diameter,37,11
Trunk_increment,4.8,3.7
Flowering_intensity,56,29
Flowering_begin,110,4.7
Flowering_full,100,6.9
Flowering_end,110,6.6
Scab,2.5,2.5
Powdery_mildew,2,1.2
Scab_fruits,0.93,0.57
Weight_sample,3.2,1.1
Sample_size,20,0
