trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,4.7
Fruit_weight,5,2.3
Fruit_number,29,14
Fruit_weight_single,180,18
Color_over,2.4,1.2
Russet_freq_all,77,29
Trunk_diameter,30,6.6
Trunk_increment,4.6,2.5
Flowering_intensity,41,35
Flowering_begin,110,7.3
Flowering_full,100,7.6
Flowering_end,110,5.5
Scab,3,2.6
Powdery_mildew,2.5,2.5
Scab_fruits,0.95,0.58
Weight_sample,3,0.58
Sample_size,17,3.8
