trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,20
Fruit_weight,5,1.7
Fruit_number,31,10
Fruit_weight_single,170,30
Color_over,1.9,1.6
Russet_freq_all,94,2.5
Trunk_diameter,34,6.3
Trunk_increment,7.2,4.4
Flowering_intensity,48,29
Flowering_begin,120,2.5
Flowering_full,96,2.7
Flowering_end,100,3.2
Scab,1.1,0.4
Powdery_mildew,1,0.08
Scab_fruits,0.6,0.41
Weight_sample,3.1,0.58
Sample_size,18,1.4
