trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,4.1
Fruit_weight,5.2,1.2
Fruit_number,31,7.4
Fruit_weight_single,170,6.9
Color_over,1.9,0.73
Russet_freq_all,94,2.5
Trunk_diameter,29,5.9
Trunk_increment,5.8,3.4
Flowering_intensity,30,19
Flowering_begin,120,2.5
Flowering_full,97,2.9
Flowering_end,110,3.2
Scab,1.1,0.63
Powdery_mildew,1,0.11
Scab_fruits,0.8,0.34
Weight_sample,3.3,0.16
Sample_size,19,0.94
