trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,240,37
Fruit_weight,8.6,8
Fruit_number,58,47
Fruit_weight_single,150,26
Color_over,2.2,0.77
Russet_freq_all,70,19
Trunk_diameter,56,17
Trunk_increment,3.8,3.4
Flowering_intensity,60,48
Flowering_begin,91,3.5
Flowering_full,94,3.7
Flowering_end,100,0
Scab,0.45,0.58
Powdery_mildew,2.6,1.5
Scab_fruits,0.18,0.19
Weight_sample,2.6,0.89
Sample_size,18,4.4
