trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,24
Fruit_weight,7.6,5.5
Fruit_number,61,39
Fruit_weight_single,130,47
Color_over,2.8,2
Russet_freq_all,38,48
Trunk_diameter,26,6.3
Trunk_increment,4.2,2.7
Flowering_intensity,79,33
Flowering_begin,100,4.3
Flowering_full,100,4.8
Flowering_end,110,4.1
Scab,3.6,2.2
Powdery_mildew,3.2,1.5
Scab_fruits,1.3,0.36
Weight_sample,2.6,0.93
Sample_size,20,0
