trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,25
Fruit_weight,6.4,3.4
Fruit_number,44,23
Fruit_weight_single,150,51
Color_over,2.1,1.8
Russet_freq_all,68,35
Trunk_diameter,27,6.6
Trunk_increment,5.8,4.4
Flowering_intensity,71,24
Flowering_begin,97,4.5
Flowering_full,100,4
Flowering_end,110,4.5
Scab,2.2,1.7
Powdery_mildew,2.3,0.96
Scab_fruits,1.1,0.36
Weight_sample,3,1
Sample_size,20,0
