trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,29
Fruit_weight,9.3,5.9
Fruit_number,65,39
Fruit_weight_single,150,55
Color_over,2.4,1.1
Russet_freq_all,45,39
Trunk_diameter,31,8.3
Trunk_increment,4.4,3.1
Flowering_intensity,100,0
Flowering_begin,100,4.4
Flowering_full,100,4.9
Flowering_end,110,5
Scab,2.4,1.8
Powdery_mildew,2.7,1.2
Scab_fruits,0.97,0.53
Weight_sample,2.9,1.1
Sample_size,20,2.5
