trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,250,10
Fruit_weight,1.9,0.71
Fruit_number,12,4.4
Fruit_weight_single,170,26
Color_over,1.4,0.97
Russet_freq_all,89,21
Trunk_diameter,42,8.5
Trunk_increment,3,3.1
Flowering_intensity,12,4.2
Flowering_begin,100,2.2
Flowering_full,110,4.1
Flowering_end,110,2.4
Scab,5.6,1.8
Powdery_mildew,1.6,1.8
Scab_fruits,1.4,0.14
Weight_sample,1.8,0.64
Sample_size,11,4
