trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,9.3
Fruit_weight,2.7,0.57
Fruit_number,14,2.9
Fruit_weight_single,190,15
Color_over,2.7,1.5
Russet_freq_all,50,36
Trunk_diameter,25,6.3
Trunk_increment,3.4,2.1
Flowering_intensity,12,6
Flowering_begin,110,2.6
Flowering_full,110,4.5
Flowering_end,110,2.8
Scab,5.4,2
Powdery_mildew,4.7,2.5
Scab_fruits,1.5,0.17
Weight_sample,2.5,0.54
Sample_size,13,2.7
