trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,260,27
Fruit_weight,6.9,3.5
Fruit_number,47,27
Fruit_weight_single,160,55
Color_over,2.2,1.8
Russet_freq_all,67,34
Trunk_diameter,24,5.3
Trunk_increment,4.2,3.2
Flowering_intensity,69,25
Flowering_begin,97,4
Flowering_full,100,3.9
Flowering_end,110,4.4
Scab,2.2,1.8
Powdery_mildew,2.4,1.1
Scab_fruits,1.1,0.34
Weight_sample,3.2,1.1
Sample_size,20,0
