trait,mean_used_for_outliers_detection,standard_deviation_used_for_outliers_detection
Harvest_date,270,27
Fruit_weight,4.6,4
Fruit_number,32,30
Fruit_weight_single,160,68
Color_over,2.6,1.1
Russet_freq_all,60,26
Trunk_diameter,33,7.4
Trunk_increment,3.7,2.7
Flowering_intensity,44,34
Flowering_begin,110,8.4
Flowering_full,97,2.4
Flowering_end,100,2.5
Scab,1,0
Powdery_mildew,4.4,3.3
Scab_fruits,0.73,0.57
Weight_sample,2.3,1.3
Sample_size,15,7.1
